X,Y,ProfileID,ExMg,ExK
37.53,-0.22,KE SOTER_122/1-54,0.220000000000000,0.530000000000000
37.59,-0.03,KE SOTER_122/1-58,1.420000000000000,1.410000000000000
37.57,-0.11,KE SOTER_122/1-60,-9999.000000000000000,-9999.000000000000000
37.87,-0.217,KE SOTER_122/2-10,18.600000000000001,0.010000000000000
37.78,-0.08,KE SOTER_122/2-131,1.880000000000000,0.060000000000000
37.91,-0.056,KE SOTER_122/2-15,2.700000000000000,0.270000000000000
37.78,-0.12,KE SOTER_122/2-2,2.800000000000000,0.900000000000000
37.73,-0.05,KE SOTER_122/2-24,2.000000000000000,0.700000000000000
37.85,-0.16,KE SOTER_122/2-26,3.500000000000000,0.100000000000000
37.83,-0.198,KE SOTER_122/2-5,0.300000000000000,0.010000000000000
37.86,-0.22,KE SOTER_122/2-6a,6.200000000000000,0.010000000000000
37.86,-0.22,KE SOTER_122/2-6b,2.200000000000000,0.920000000000000
37.5207,-0.4139,KE SOTER_122/3-128,0.100000000000000,0.100000000000000
37.538,-0.369,KE SOTER_122/3-13,0.700000000000000,0.100000000000000
37.64945,-0.4185,KE SOTER_122/3-17,0.500000000000000,0.200000000000000
37.7264,-0.4404,KE SOTER_122/3-3,2.300000000000000,0.700000000000000
37.688,-0.4507,KE SOTER_122/3-30,0.700000000000000,0.200000000000000
37.749,-0.4514,KE SOTER_122/3-4,1.200000000000000,0.200000000000000
37.5362,-0.3507,KE SOTER_122/3-48,-9999.000000000000000,-9999.000000000000000
37.6983,-0.4514,KE SOTER_122/3-53,0.500000000000000,0.700000000000000
37.6983,-0.4549,KE SOTER_122/3-54,4.400000000000001,1.000000000000000
37.9592,-0.3296,KE SOTER_122/4-114,1.200000000000000,0.200000000000000
37.7663,-0.3086,KE SOTER_122/4-40,3.500000000000000,1.000000000000000
37.8541,-0.3956,KE SOTER_122/4-6,11.800000000000001,0.400000000000000
37.5407,-0.73,KE SOTER_136/1-22,15.000000000000000,0.500000000000000
37.6923,-0.7058,KE SOTER_136/1-51,3.000000000000000,0.200000000000000
37.55,-0.61,KE SOTER_136/1-8,2.100000000000000,0.900000000000000
37.5803,-0.77782,KE SOTER_136/3-23,8.699999999999999,0.400000000000000
