"annual_ppt","bareground","driest_ppt","land_elevation","treecover","valley_depth","veg_index","wetness_index","wettest_ppt","X","Y","ExK"
638.213623046875,11,6.28097724914551,820,1,7005,837,91,151.40202331543,37.9796,-0.638,0.7
1029.72631835938,5,11.1613616943359,824,8,5624,1600,96,256.462219238281,37.7737,-0.6097,0.456027397260274
1281.3095703125,17,20.771448135376,1103,6,1859,1768,111,275.078002929688,37.5158,-0.7624,0.2
1202.91687011719,33,32.9472808837891,4379,0,1473,1112,68,248.890579223633,37.28604,-0.1644,0.456027397260274
1104.7236328125,7,29.3705501556396,4012,10,1622,1547,69,226.374816894531,37.2617,-0.1779,0.456027397260274
1978.59558105469,9,56.9770660400391,3437,10,3154,2387,74,415.520355224609,37.2918,-0.25,0.8
2133.68017578125,2,61.3133773803711,3083,30,1990,1495,76,446.666961669922,37.2919,-0.28828,0.2
2157.50756835938,0,50.7822532653809,2830,58,-705,1592,80,455.459533691406,37.461111,-0.172222,0.2
2014.2939453125,0,44.1924591064453,2340,92,294,1617,93,432.274230957031,37.511111,-0.209722,0.3
1834.91296386719,0,38.7509231567383,1687,74,2173,1438,97,398.824645996094,37.538889,-0.354167,0.456027397260274
1834.91296386719,0,38.7509231567383,1687,74,2173,1438,97,398.824645996094,37.541667,-0.354167,1.5
1834.91296386719,0,38.7509231567383,1687,74,2173,1438,97,398.824645996094,37.536111,-0.355556,0.8
1715.15759277344,1,34.8766059875488,1583,24,1259,1907,95,375.871917724609,37.576389,-0.380556,0.1
1622.92700195312,0,30.5923843383789,1406,23,-565,1909,100,357.054504394531,37.627778,-0.411111,1.5
1627.44079589844,0,31.148889541626,1416,27,-397,1939,97,358.772186279297,37.625,-0.413889,0.1
1614.18481445312,0,31.0114364624023,1373,40,-143,1751,99,357.207397460938,37.623611,-0.416667,0.1
1460.14501953125,1,22.9430618286133,1151,20,160,1908,105,324.081024169922,37.7,-0.451389,0.1
1460.14501953125,1,22.9430618286133,1151,20,160,1908,105,324.081024169922,37.698611,-0.451389,0.7
1460.14501953125,1,22.9430618286133,1151,20,160,1908,105,324.081024169922,37.698611,-0.452778,0.7
1515.16455078125,5,37.2063217163086,1336,15,2807,1732,104,349.225280761719,37.451667,-0.552222,0.4
1393.65588378906,2,20.6671085357666,932,20,3438,1171,92,308.714263916016,37.772222,-0.452778,0.2
1296.73559570312,11,18.7419815063477,868,3,4255,1113,110,290.722991943359,37.790278,-0.461111,0.1
1229.416015625,6,17.0392055511475,818,8,4933,1084,108,275.209228515625,37.805556,-0.444444,0.4
923.479064941406,7,11.2882480621338,585,6,3395,1075,115,216.090087890625,37.972222,-0.152222,0.1
619.359497070312,24,3.37298727035522,579,0,-79,1461,108,152.059982299805,38.244444,-0.227778,0.4
1499.13500976562,7,36.9178886413574,1346,11,2703,1144,101,352.365112304688,37.466667,-0.533333,0.4
630.992858886719,25,6.68649196624756,706,0,7297,921,102,143.323867797852,37.916667,-0.666667,0.3
1302.00939941406,5,19.7231292724609,862,13,4615,1484,102,291.394805908203,37.786111,-0.316667,0.456027397260274
1461.75891113281,1,24.5272407531738,1422,26,322,1177,95,312.582397460938,37.68,0.0344,0.06
1418.82189941406,2,22.7682151794434,1307,19,699,1555,99,305.170471191406,37.71,-0.02,0.15
1552.86560058594,0,27.3470973968506,1411,38,-125,1759,89,335.47021484375,37.67,-0.09,0.67
1439.43395996094,2,23.1486721038818,1205,16,228,1506,96,312.593811035156,37.74,-0.09,0.21
1416.72937011719,5,23.4622497558594,1144,10,323,1680,94,311.33984375,37.72,-0.11,0.63
1350.38208007812,2,21.265682220459,1177,17,851,1536,102,303.713684082031,37.69,-0.15,1.15
1671.37573242188,0,30.8418140411377,1719,37,-273,2202,91,356.907684326172,37.63,-0.08,2
1828.51745605469,0,35.9487762451172,2034,43,-536,1424,77,387.251556396484,37.58,-0.08,0.77
1705.95166015625,0,31.9997024536133,1843,24,-1075,1636,86,364.308349609375,37.61,-0.13,1.91
1749.58654785156,0,32.734619140625,1807,58,-1769,1471,81,373.146148681641,37.62,-0.15,0.63
1481.20007324219,0,24.6219577789307,1329,17,335,1622,91,319.927429199219,37.67,-0.17,0.03
1983.80871582031,0,42.1677284240723,2177,73,225,2047,89,423.019775390625,37.53,-0.22,0.53
1755.11254882812,0,33.8774299621582,1946,35,-929,1393,82,371.022125244141,37.59,-0.03,1.41
1864.05285644531,0,37.1899299621582,2044,40,-771,2475,78,395.764282226562,37.57,-0.11,0.456027397260274
1152.67687988281,8,15.1536617279053,807,9,4016,1216,113,267.224456787109,37.87,-0.217,0.01
1292.73034667969,1,19.0225238800049,983,19,2912,1374,97,286.783081054688,37.78,-0.08,0.06
1114.72229003906,4,13.8469247817993,805,10,2979,1367,101,256.422607421875,37.91,-0.056,0.27
1312.47229003906,0,20.0010070800781,1004,31,2448,1711,100,287.983093261719,37.78,-0.12,0.9
1411.75927734375,1,22.2094459533691,1248,24,1429,1247,99,305.684448242188,37.73,-0.05,0.7
1130.25122070312,4,14.3368606567383,804,11,3794,1499,101,262.893524169922,37.85,-0.16,0.1
1141.47314453125,10,16.7744407653809,849,9,3588,1743,114,254.552017211914,37.83,-0.198,0.01
1088.611328125,4,15.49485206604,807,10,3986,1461,109,248.007019042969,37.86,-0.22,0.01
1088.611328125,4,15.49485206604,807,10,3986,1461,109,248.007019042969,37.86,-0.22,0.92
1882.58703613281,0,40.3298263549805,1762,36,-232,1593,88,408.631866455078,37.5207,-0.4139,0.1
1833.28918457031,0,38.6580238342285,1744,38,991,1223,95,398.051391601562,37.538,-0.369,0.1
1597.78308105469,1,29.2605247497559,1351,23,-697,1321,94,351.534790039062,37.64945,-0.4185,0.2
1455.20361328125,2,23.2098236083984,1119,17,391,1724,99,322.408172607422,37.7264,-0.4404,0.7
1466.56420898438,7,22.6983451843262,1168,10,96,1747,104,325.381225585938,37.688,-0.4507,0.2
1460.91845703125,3,22.5985794067383,1040,13,2363,1389,90,324.321228027344,37.749,-0.4514,0.2
1834.91296386719,0,38.7509231567383,1687,74,2173,1438,97,398.824645996094,37.5362,-0.3507,0.456027397260274
1460.14501953125,1,22.9430618286133,1151,20,160,1908,105,324.081024169922,37.6983,-0.4514,0.7
1460.14501953125,1,22.9430618286133,1151,20,160,1908,105,324.081024169922,37.6983,-0.4549,1
1133.56970214844,8,12.6620578765869,660,3,4085,1224,85,259.83740234375,37.9592,-0.3296,0.2
1394.32153320312,4,21.901180267334,988,14,3273,1794,100,306.571655273438,37.7663,-0.3086,1
1026.32971191406,16,12.3293752670288,739,2,6070,1351,110,250.326766967773,37.8541,-0.3956,0.4
997.570434570312,17,17.4638519287109,1071,5,3420,1818,116,232.862411499023,37.5407,-0.73,0.5
1426.51452636719,7,20.271125793457,1151,5,2706,1553,98,319.555725097656,37.6923,-0.7058,0.2
1054.53210449219,9,23.9873199462891,1159,7,1071,1156,107,237.276519775391,37.55,-0.61,0.9
1185.09533691406,13,17.9812870025635,1071,7,3412,1477,112,264.696441650391,37.5803,-0.77782,0.4
