"X","Y","k","annual_precip","clay","h20cap_pf2_0","h20cap_pf2_3","h20cap_pf2_5","land_cover","land_elevation","occ","ph20","sand","silt","temp_annual_range","terrain_slope","topo_pst_index","tree_cover","valley_depth","wet_index"
34.5984866192746,1.04228505200356,483,1898.81262207031,25,18,18,18,90,3322,32,62,41,34,17.5576438903809,7,-13,32,1320,85
34.6047366192646,1.04228505200356,490,1926.04455566406,25,18,18,18,90,3342,32,61,41,34,17.565034866333,9,43,28,608,82
34.6401532858746,1.04228505200356,380,1988.15771484375,28,18,18,18,90,3207,30,61,39,34,17.598237991333,12,-54,45,-1735,85
34.6172366192446,1.04020171867356,398,1946.22448730469,25,18,18,18,30,3395,23,62,42,34,17.5722904205322,10,389,28,0,81
34.6089032859246,1.03811838534356,389,1926.04455566406,25,18,18,18,90,3342,32,61,41,34,17.565034866333,9,43,28,608,82
34.6276532858946,1.03811838534356,410,1974.73278808594,27,18,18,18,30,3288,28,63,39,34,17.5900382995605,13,76,31,-1176,85
34.6464032858646,1.03811838534356,361,2004.01806640625,29,18,18,18,30,3176,26,61,38,33,17.606632232666,8,31,55,-1969,85
34.5193199527346,1.03603505201356,514,1594.21118164062,22,19,19,19,30,3402,40,62,42,36,17.501501083374,16,278,16,3180,82
34.5964032859446,1.03603505201356,441,1898.81262207031,25,18,18,18,90,3322,32,62,41,34,17.5576438903809,7,-13,32,1320,85
34.6651532858346,1.03603505201356,348,2033.53869628906,28,18,18,18,90,3096,29,60,41,31,17.6153354644775,19,263,50,-2677,79
34.5484866193546,1.03395171868356,504,1606.29736328125,23,19,19,19,30,3372,23,63,42,35,17.5183067321777,4,171,16,2823,85
34.5984866192746,1.03395171868356,432,1887.54431152344,24,18,18,18,120,3316,34,62,42,34,17.5597763061523,15,177,19,970,87
34.6089032859246,1.03395171868356,406,1910.67175292969,26,18,18,18,30,3221,29,62,40,34,17.5671291351318,10,-127,52,1347,84
34.5151532860746,1.03186838535356,495,1538.23474121094,22,20,20,20,30,3186,29,58,44,34,17.4968223571777,25,-441,29,5067,78
34.4984866194346,1.02978505202356,438,1539.32336425781,22,20,20,20,11,3192,35,59,42,36,17.4860076904297,25,-357,96,5229,81
34.5172366194046,1.02978505202356,493,1538.23474121094,22,20,20,20,30,3186,29,58,44,34,17.4968223571777,25,-441,29,5067,78
34.5484866193546,1.02978505202356,463,1606.29736328125,23,19,19,19,30,3372,23,63,42,35,17.5183067321777,4,171,16,2823,85
34.5505699526846,1.02978505202356,480,1606.29736328125,23,19,19,19,30,3372,23,63,42,35,17.5183067321777,4,171,16,2823,85
34.6547366191846,1.02978505202356,366,2032.02209472656,28,17,17,17,90,3025,35,57,41,31,17.6110553741455,11,-395,58,-854,85
34.4984866194346,1.02770171869356,427,1539.32336425781,22,20,20,20,11,3192,35,59,42,36,17.4860076904297,25,-357,96,5229,81
34.6297366192246,1.02770171869356,370,1981.72424316406,26,18,18,18,90,3274,25,60,40,34,17.5882091522217,6,328,17,65,83
34.6589032858446,1.02770171869356,344,2032.02209472656,28,17,17,17,90,3025,35,57,41,31,17.6110553741455,11,-395,58,-854,85
34.5443199526946,1.02561838536356,468,1649.17614746094,23,19,19,19,180,3368,28,64,41,36,17.5155181884766,8,327,15,2051,92
34.5964032859446,1.02561838536356,457,1887.4765625,26,18,18,18,120,3294,23,61,41,34,17.5614204406738,10,305,34,1260,85
34.6214032859046,1.02561838536356,362,1938.50988769531,26,18,18,18,30,3121,22,60,42,32,17.581470489502,17,-285,84,1191,81
34.6255699525646,1.02561838536356,377,1938.50988769531,26,18,18,18,30,3121,22,60,42,32,17.581470489502,17,-285,84,1191,81
34.6755699524846,1.02561838536356,357,2068.79321289062,28,18,18,18,50,2812,44,55,41,32,17.5836658477783,18,-418,87,-1190,86
34.5318199527146,1.02353505203356,533,1507.96118164062,21,20,20,20,90,3213,25,60,41,37,17.5072689056396,11,-145,17,3752,88
34.5464032860246,1.02353505203356,485,1649.17614746094,23,19,19,19,180,3368,28,64,41,36,17.5155181884766,8,327,15,2051,92
34.5151532860746,1.02145171870356,484,1491.89868164062,23,20,20,20,90,3073,26,56,43,35,17.4938335418701,17,-580,88,5370,79
34.5214032860646,1.02145171870356,417,1513.88610839844,22,20,20,20,11,3293,37,59,42,36,17.4992351531982,7,449,18,3231,79
34.5526532860146,1.02145171870356,501,1784.03308105469,23,20,20,20,30,3328,27,64,42,35,17.5200214385986,4,-19,16,2080,85
34.6318199525546,1.02145171870356,370,1977.51147460938,26,18,18,18,30,3187,27,59,43,32,17.5880794525146,14,134,48,176,78
34.6214032859046,1.01936838537356,356,1938.50988769531,26,18,18,18,30,3121,22,60,42,32,17.581470489502,17,-285,84,1191,81
34.5318199527146,1.01728505204356,425,1531.48583984375,22,21,21,21,30,3279,35,60,42,36,17.5033073425293,21,370,24,2702,93
34.5464032860246,1.01728505204356,456,1714.10546875,22,19,19,19,30,3339,36,62,41,36,17.5122299194336,7,432,17,1657,83
34.5526532860146,1.01728505204356,474,1826.3154296875,23,19,19,19,30,3244,25,61,42,35,17.5189342498779,19,-48,46,1816,80
34.5589032860046,1.01728505204356,492,1826.3154296875,23,19,19,19,30,3244,25,61,42,35,17.5189342498779,19,-48,46,1816,80
34.6234866192346,1.01728505204356,359,1932.44641113281,26,18,18,18,90,3075,22,59,41,34,17.5764503479004,8,-189,56,1717,88
34.6255699525646,1.01728505204356,347,1932.44641113281,26,18,18,18,90,3075,22,59,41,34,17.5764503479004,8,-189,56,1717,88
34.6151532859146,1.01520171871356,321,1916.37902832031,26,18,18,18,90,3116,29,58,40,35,17.5752201080322,4,-1,15,1528,90
34.6526532858546,1.01520171871356,369,2046.35180664062,27,19,19,19,30,3062,30,58,41,32,17.5969219207764,4,254,13,124,83
34.5901532859546,1.01311838538356,418,1922.29541015625,25,18,18,18,11,3162,27,60,41,34,17.5531406402588,14,-147,31,1963,83
34.5943199526146,1.01311838538356,354,1898.8779296875,26,17,17,17,30,3096,20,61,40,34,17.5599403381348,18,-376,97,2102,84
34.6464032858646,1.01311838538356,329,2022.71423339844,26,19,19,19,90,2977,35,57,41,33,17.593448638916,27,-320,97,913,81
34.5172366194046,1.01103505205356,468,1467.76989746094,23,20,20,20,10,3007,31,55,41,36,17.4780158996582,17,-552,93,5379,79
34.5797366193046,1.01103505205356,459,1954.23193359375,24,19,19,19,90,3248,34,61,40,36,17.5408000946045,16,142,41,1107,78
34.6505699525246,1.01103505205356,317,2022.71423339844,26,19,19,19,90,2977,35,57,41,33,17.593448638916,27,-320,97,913,81
34.6630699525046,1.01103505205356,346,2067.244140625,28,18,18,18,10,3045,36,57,40,31,17.5907592773438,6,386,13,-434,88
34.4984866194346,1.00895171872356,386,1575.51501464844,23,20,20,20,90,3068,51,55,42,36,17.4494609832764,10,282,98,4747,84
34.6380699525446,1.00895171872356,332,1997.490234375,26,19,19,19,90,2968,24,56,42,32,17.5746269226074,28,-185,97,1097,84
34.6505699525246,1.00895171872356,309,2007.86181640625,26,19,19,19,90,2916,33,56,42,32,17.5723361968994,7,-175,80,1330,84
34.6776532858146,1.00895171872356,317,2092.78979492188,30,18,18,18,90,2836,34,54,41,29,17.5647430419922,17,82,60,-1673,77
34.5318199527146,1.00686838539356,385,1585.09240722656,23,20,20,20,90,3283,35,58,42,35,17.4969844818115,21,740,18,1674,87
34.6276532858946,1.00686838539356,370,1983.66357421875,27,19,19,19,30,3022,22,56,40,34,17.5689239501953,8,-163,75,1509,87
34.5130699527446,1.00478505206356,387,1471.01342773438,23,19,19,19,90,2931,33,56,42,35,17.4561805725098,18,-475,69,5433,81
34.5839032859646,1.00478505206356,517,1968.23120117188,24,18,18,18,30,3238,31,60,40,36,17.5401229858398,23,373,31,518,79
34.6047366192646,1.00478505206356,316,1922.4462890625,26,18,18,18,30,3080,25,58,41,33,17.5614948272705,9,-14,60,1752,88
34.6109866192546,1.00478505206356,351,1946.35327148438,26,19,19,19,30,3075,26,58,41,33,17.5684547424316,7,106,60,1519,95
34.5214032860646,1.00270171873356,426,1507.84765625,24,20,20,20,10,3073,43,54,41,35,17.4824542999268,27,-104,81,3941,75
34.5318199527146,1.00270171873356,395,1585.09240722656,23,20,20,20,90,3283,35,58,42,35,17.4969844818115,21,740,18,1674,87
34.5339032860446,1.00270171873356,410,1585.09240722656,23,20,20,20,90,3283,35,58,42,35,17.4969844818115,21,740,18,1674,87
34.5547366193446,1.00270171873356,432,1855.33825683594,23,20,20,20,30,3241,27,60,41,36,17.5176239013672,12,69,35,1293,80
34.5589032860046,1.00270171873356,437,1855.33825683594,23,20,20,20,30,3241,27,60,41,36,17.5176239013672,12,69,35,1293,80
34.6214032859046,1.00270171873356,359,1964.42456054688,26,19,19,19,30,3083,33,58,41,34,17.5693035125732,9,132,31,1181,93
34.6380699525446,1.00270171873356,314,1997.490234375,26,19,19,19,90,2968,24,56,42,32,17.5746269226074,28,-185,97,1097,84
34.5068199527546,1.00061838540356,427,1527.7099609375,23,20,20,20,10,2988,44,54,42,35,17.4273624420166,8,187,67,4993,83
34.5380699527046,1.00061838540356,435,1688.36364746094,21,20,20,20,90,3082,37,56,43,36,17.4977588653564,31,-462,97,2258,79
34.6734866191546,1.00061838540356,353,2087.67919921875,28,18,18,18,10,2955,37,55,42,31,17.5714092254639,15,501,59,-2028,82
34.5589032860046,0.998535052073562,429,1866.76831054688,22,20,20,20,30,3137,19,60,42,36,17.5140075683594,10,-220,30,971,84
34.6068199525946,0.998535052073562,351,1923.11791992188,26,18,18,18,11,2974,33,56,42,33,17.5426692962646,32,-362,97,1639,87
34.6776532858146,0.998535052073562,306,2099.10424804688,29,18,18,18,90,2838,29,54,41,30,17.5581550598145,14,33,91,-1359,80
34.6443199525346,0.996451718743562,300,2003.34094238281,26,19,19,19,30,2803,25,56,43,32,17.5492649078369,18,-422,98,1758,86
34.6568199525146,0.996451718743562,305,2023.81323242188,26,19,19,19,11,2863,34,56,42,32,17.5573921203613,23,-221,97,467,86
34.6609866191746,0.996451718743562,301,2059.67358398438,27,19,19,19,90,2906,42,54,42,32,17.5672302246094,21,44,77,-713,83
34.6734866191546,0.996451718743562,327,2087.67919921875,28,18,18,18,10,2955,37,55,42,31,17.5714092254639,15,501,59,-2028,82
34.6964032857845,0.996451718743562,294,2093.25610351562,33,18,18,18,10,2631,42,55,37,30,17.5438079833984,4,-213,31,-1685,86
34.5068199527546,0.994368385413562,434,1527.7099609375,23,20,20,20,10,2988,44,54,42,35,17.4273624420166,8,187,67,4993,83
34.5922366192846,0.994368385413562,381,1938.84777832031,23,19,19,19,30,3070,29,59,42,34,17.5390567779541,13,5,35,1601,86
34.6130699525846,0.994368385413562,355,1948.23315429688,25,19,19,19,11,3086,37,56,42,33,17.5520038604736,13,293,70,816,89
34.6526532858546,0.994368385413562,304,2023.81323242188,26,19,19,19,11,2863,34,56,42,32,17.5573921203613,23,-221,97,467,86
34.6609866191746,0.994368385413562,318,2059.67358398438,27,19,19,19,90,2906,42,54,42,32,17.5672302246094,21,44,77,-713,83
34.6943199524545,0.994368385413562,310,2093.25610351562,33,18,18,18,10,2631,42,55,37,30,17.5438079833984,4,-213,31,-1685,86
34.4964032861046,0.992285052083562,447,1568.2705078125,24,19,19,19,10,2911,58,54,40,36,17.3814811706543,14,157,93,5144,86
34.5422366193646,0.992285052083562,396,1684.69360351562,22,20,20,20,90,3020,41,55,43,36,17.4737968444824,32,-493,96,2457,81
34.5526532860146,0.992285052083562,413,1867.71716308594,21,20,20,20,30,3076,22,59,43,36,17.5015716552734,12,-229,18,996,87
34.5547366193446,0.992285052083562,406,1867.71716308594,21,20,20,20,30,3076,22,59,43,36,17.5015716552734,12,-229,18,996,87
34.5755699526446,0.992285052083562,391,1939.91430664062,23,19,19,19,90,3114,30,56,43,35,17.513786315918,27,205,54,964,83
34.5776532859746,0.992285052083562,423,1902.97509765625,23,18,18,18,120,2982,31,56,43,33,17.502571105957,14,-439,64,1563,80
34.6026532859346,0.992285052083562,345,1927.00305175781,25,19,19,19,30,2974,38,55,42,33,17.5214977264404,30,87,62,1710,88
34.6109866192546,0.992285052083562,338,1915.88757324219,25,19,19,19,90,2951,28,55,41,33,17.5198707580566,20,-176,92,1202,88
34.6901532857945,0.992285052083562,308,2097.80249023438,32,18,18,18,90,2706,38,55,38,31,17.5422897338867,8,-124,44,-1418,88
34.4922366194446,0.990201718753562,411,1616.03100585938,23,20,20,20,10,2793,63,54,39,37,17.3674163818359,7,-418,69,6147,87
34.5839032859646,0.990201718753562,400,1902.97509765625,23,18,18,18,120,2982,31,56,43,33,17.502571105957,14,-439,64,1563,80
34.6297366192246,0.990201718753562,339,2010.33911132812,26,19,19,19,90,2983,31,55,43,32,17.5393753051758,10,74,97,158,87
34.6922366191245,0.990201718753562,305,2097.80249023438,32,18,18,18,90,2706,38,55,38,31,17.5422897338867,8,-124,44,-1418,88
34.5026532860946,0.988118385423562,379,1509.35534667969,24,20,20,20,90,2867,54,56,41,35,17.3849964141846,25,-116,57,5124,84
34.5818199526346,0.988118385423562,394,1902.97509765625,23,18,18,18,120,2982,31,56,43,33,17.502571105957,14,-439,64,1563,80
34.5068199527546,0.986035052093562,389,1509.35534667969,24,20,20,20,90,2867,54,56,41,35,17.3849964141846,25,-116,57,5124,84
34.5089032860846,0.986035052093562,375,1509.35534667969,24,20,20,20,90,2867,54,56,41,35,17.3849964141846,25,-116,57,5124,84
34.5568199526746,0.986035052093562,386,1867.71716308594,21,20,20,20,30,3076,22,59,43,36,17.5015716552734,12,-229,18,996,87
34.6276532858946,0.986035052093562,306,2010.33911132812,26,19,19,19,90,2983,31,55,43,32,17.5393753051758,10,74,97,158,87
34.6693199524946,0.986035052093562,324,2070.75659179688,29,18,18,18,90,2857,38,56,40,31,17.5433616638184,5,205,42,-1641,85
34.5547366193446,0.983951718763562,371,1874.90393066406,22,20,20,20,30,3065,20,57,44,35,17.4841747283936,4,5,28,944,88
34.5568199526746,0.983951718763562,380,1874.90393066406,22,20,20,20,30,3065,20,57,44,35,17.4841747283936,4,5,28,944,88
34.5589032860046,0.983951718763562,403,1874.90393066406,22,20,20,20,30,3065,20,57,44,35,17.4841747283936,4,5,28,944,88
34.5984866192746,0.983951718763562,333,1935.013671875,24,19,19,19,90,2991,29,55,43,33,17.5080337524414,16,211,91,1023,93
34.6109866192546,0.983951718763562,319,1893.12780761719,26,19,19,19,90,2884,40,54,42,33,17.5027332305908,29,6,97,788,88
34.6359866192146,0.983951718763562,328,2052.76000976562,27,18,18,18,90,2926,37,54,40,33,17.5321235656738,8,130,56,182,96
34.6380699525446,0.983951718763562,346,2052.76000976562,27,18,18,18,90,2926,37,54,40,33,17.5321235656738,8,130,56,182,96
34.6401532858746,0.983951718763562,354,2052.76000976562,27,18,18,18,90,2926,37,54,40,33,17.5321235656738,8,130,56,182,96
34.6484866191946,0.983951718763562,318,2065.5859375,28,18,18,18,90,2895,29,54,41,31,17.5295372009277,13,3,79,-312,90
34.6505699525246,0.983951718763562,292,2065.5859375,28,18,18,18,90,2895,29,54,41,31,17.5295372009277,13,3,79,-312,90
34.5714032859846,0.981868385433562,424,1925.81640625,23,19,19,19,11,3079,23,58,43,34,17.4957847595215,14,371,51,1078,82
34.5734866193146,0.981868385433562,455,1925.81640625,23,19,19,19,11,3079,23,58,43,34,17.4957847595215,14,371,51,1078,82
34.6380699525446,0.981868385433562,347,2052.76000976562,27,18,18,18,90,2926,37,54,40,33,17.5321235656738,8,130,56,182,96
