"X","Y","mg","annual_precip","clay","h20cap_pf2_0","h20cap_pf2_3","h20cap_pf2_5","land_cover","land_elevation","occ","ph20","sand","silt","temp_annual_range","terrain_slope","topo_pst_index","tree_cover","valley_depth","wet_index"
34.5297366193846,1.08395171860357,510,1493.02905273438,24,20,20,20,30,3810,48,61,43,32,17.3714122772217,20,-195,13,3372,74
34.6359866192146,1.08395171860357,364,1941.18127441406,25,19,19,19,30,3281,38,63,41,34,17.6072769165039,12,-72,19,-3157,78
34.6005699526046,1.08186838527357,505,1858.05004882812,21,21,21,21,30,3757,73,63,45,34,17.4846000671387,12,-47,11,-1095,75
34.6172366192446,1.07978505194357,491,1897.45483398438,21,21,21,21,180,3610,85,62,46,34,17.5518398284912,15,124,18,-2718,73
34.6109866192546,1.07770171861357,497,1897.45483398438,21,21,21,21,180,3610,85,62,46,34,17.5518398284912,15,124,18,-2718,73
34.6172366192446,1.07561838528357,433,1915.89709472656,23,20,20,20,90,3489,60,62,43,35,17.5624237060547,12,-118,23,-1470,77
34.6526532858546,1.07561838528357,284,1981.30212402344,27,18,18,18,30,3211,26,62,39,35,17.6258716583252,9,349,15,-3325,86
34.5151532860746,1.07353505195357,460,1439.06494140625,23,20,20,20,180,3686,49,60,43,34,17.4832611083984,12,0,15,3505,79
34.6422366192046,1.07353505195357,320,1953.70971679688,25,18,18,18,90,3207,32,64,41,34,17.6070289611816,15,-187,18,-2928,79
34.5172366194046,1.07145171862357,470,1439.06494140625,23,20,20,20,180,3686,49,60,43,34,17.4832611083984,12,0,15,3505,79
34.6130699525846,1.07145171862357,458,1915.89709472656,23,20,20,20,90,3489,60,62,43,35,17.5624237060547,12,-118,23,-1470,77
34.6172366192446,1.07145171862357,502,1915.89709472656,23,20,20,20,90,3489,60,62,43,35,17.5624237060547,12,-118,23,-1470,77
34.6359866192146,1.07145171862357,435,1953.70971679688,25,18,18,18,90,3207,32,64,41,34,17.6070289611816,15,-187,18,-2928,79
34.6047366192646,1.06728505196357,499,1914.88854980469,24,20,20,20,30,3489,58,63,42,35,17.5564060211182,11,-31,19,-489,75
34.5318199527146,1.06103505197357,534,1547.46618652344,25,19,19,19,30,3648,56,60,42,33,17.4966640472412,10,52,8,3266,78
34.6505699525246,1.05895171864357,311,1979.38061523438,28,17,17,17,30,3207,29,61,39,33,17.6150360107422,17,-15,63,-2270,84
34.5276532860546,1.05686838531357,503,1581.97900390625,24,19,19,19,120,3544,62,61,42,34,17.5055389404297,11,57,12,3205,80
34.6422366192046,1.05686838531357,380,1969.16662597656,27,18,18,18,30,3319,34,64,38,35,17.6036605834961,16,265,39,-2656,92
34.5151532860746,1.05478505198357,437,1534.85241699219,23,20,20,20,30,3485,66,63,43,35,17.4960975646973,12,-82,16,3301,77
34.5234866193946,1.05270171865356,480,1563.05151367188,24,20,20,20,30,3528,58,62,42,34,17.5007190704346,15,170,13,3043,81
34.5901532859546,1.05270171865356,548,1867.58764648438,26,20,20,20,180,3498,59,63,41,33,17.5430679321289,10,-7,20,1511,76
34.6255699525646,1.05061838532356,438,1957.85400390625,26,18,18,18,90,3345,34,62,40,34,17.5814990997314,10,107,20,-1500,81
34.6172366192446,1.04853505199356,443,1946.27282714844,26,18,18,18,180,3334,31,63,40,34,17.5726432800293,1,-86,17,-408,80
34.6401532858746,1.04853505199356,445,1978.09301757812,27,18,18,18,30,3267,33,62,38,35,17.5998592376709,13,115,30,-2210,96
34.6276532858946,1.04645171866356,396,1967.29711914062,26,18,18,18,11,3266,27,61,40,35,17.5912933349609,8,-83,21,-1498,83
34.6484866191946,1.04645171866356,415,1991.39196777344,28,18,18,18,180,3255,30,62,39,34,17.609037399292,6,253,21,-2925,91
34.5526532860146,1.04436838533356,533,1684.59350585938,25,19,19,19,30,3439,38,63,41,34,17.5234527587891,8,-253,13,4151,79
34.6130699525846,1.04436838533356,476,1946.27282714844,26,18,18,18,180,3334,31,63,40,34,17.5726432800293,1,-86,17,-408,80
34.5005699527646,1.04228505200356,419,1543.46362304688,21,20,20,20,30,3224,37,59,43,36,17.4872894287109,28,-587,54,5286,80
34.5214032860646,1.04228505200356,381,1594.21118164062,22,19,19,19,30,3402,40,62,42,36,17.501501083374,16,278,16,3180,82
34.6297366192246,1.04228505200356,504,1974.73278808594,27,18,18,18,30,3288,28,63,39,34,17.5900382995605,13,76,31,-1176,85
34.5172366194046,1.04020171867356,359,1569.47814941406,23,20,20,20,30,3284,39,60,44,34,17.4965724945068,27,-381,33,4805,77
34.5922366192846,1.04020171867356,506,1870.2607421875,25,18,18,18,30,3332,34,64,42,33,17.5517864227295,15,-240,27,2236,83
34.6568199525146,1.04020171867356,287,2020.18078613281,29,18,18,18,11,3158,32,60,39,32,17.614953994751,13,155,27,-2626,83
34.5672366193246,1.03811838534356,492,1810.677734375,25,20,20,20,30,3431,32,62,42,34,17.5280723571777,9,-54,15,3549,83
34.5693199526546,1.03811838534356,451,1876.53820800781,24,20,20,20,180,3462,35,63,42,34,17.5334911346436,10,214,16,3289,84
34.5755699526446,1.03811838534356,522,1876.53820800781,24,20,20,20,180,3462,35,63,42,34,17.5334911346436,10,214,16,3289,84
34.6234866192346,1.03603505201356,410,1962.20617675781,25,18,18,18,90,3290,28,62,40,35,17.5808010101318,1,61,16,-636,83
34.6255699525646,1.03603505201356,414,1962.20617675781,25,18,18,18,90,3290,28,62,40,35,17.5808010101318,1,61,16,-636,83
34.6484866191946,1.03395171868356,358,2015.35949707031,29,18,18,18,90,3169,31,61,40,32,17.6066570281982,16,153,25,-865,85
34.5172366194046,1.03186838535356,346,1538.23474121094,22,20,20,20,30,3186,29,58,44,34,17.4968223571777,25,-441,29,5067,78
34.5672366193246,1.03186838535356,469,1842.82836914062,25,19,19,19,120,3438,30,64,41,34,17.5276279449463,12,224,18,2434,89
34.5818199526346,1.03186838535356,500,1900.53308105469,25,19,19,19,90,3379,33,64,41,34,17.5434131622314,13,227,21,2109,84
34.6005699526046,1.03186838535356,417,1887.54431152344,24,18,18,18,120,3316,34,62,42,34,17.5597763061523,15,177,19,970,87
34.6193199525746,1.03186838535356,371,1958.04992675781,25,19,19,19,30,3273,30,61,40,35,17.5800819396973,8,244,15,-38,80
34.6484866191946,1.03186838535356,334,2015.35949707031,29,18,18,18,90,3169,31,61,40,32,17.6066570281982,16,153,25,-865,85
34.6568199525146,1.03186838535356,268,2032.02209472656,28,17,17,17,90,3025,35,57,41,31,17.6110553741455,11,-395,58,-854,85
34.5005699527646,1.02978505202356,384,1539.32336425781,22,20,20,20,11,3192,35,59,42,36,17.4860076904297,25,-357,96,5229,81
34.5026532860946,1.02978505202356,380,1530.82531738281,21,20,20,20,30,3293,37,59,43,35,17.489221572876,24,294,15,4162,77
34.5109866194146,1.02978505202356,406,1538.23474121094,22,20,20,20,30,3186,29,58,44,34,17.4968223571777,25,-441,29,5067,78
34.5276532860546,1.02978505202356,397,1533.28100585938,21,20,20,20,120,3221,26,62,42,37,17.5092830657959,11,-210,22,4132,85
34.6484866191946,1.02978505202356,316,2015.35949707031,29,18,18,18,90,3169,31,61,40,32,17.6066570281982,16,153,25,-865,85
34.6630699525046,1.02978505202356,289,2046.67858886719,28,18,18,18,90,2991,29,58,41,32,17.6074733734131,28,-199,72,-1444,84
34.5297366193846,1.02770171869356,344,1533.28100585938,21,20,20,20,120,3221,26,62,42,37,17.5092830657959,11,-210,22,4132,85
34.5734866193146,1.02770171869356,454,1904.982421875,25,18,18,18,120,3440,29,65,42,33,17.5331840515137,10,221,17,2413,83
34.6401532858746,1.02770171869356,322,1998.69873046875,28,18,18,18,11,3227,29,61,39,33,17.5984039306641,5,220,16,-487,84
34.5297366193846,1.02561838536356,349,1507.96118164062,21,20,20,20,90,3213,25,60,41,37,17.5072689056396,11,-145,17,3752,88
34.5505699526846,1.02561838536356,465,1649.17614746094,23,19,19,19,180,3368,28,64,41,36,17.5155181884766,8,327,15,2051,92
34.5943199526146,1.02561838536356,450,1887.4765625,26,18,18,18,120,3294,23,61,41,34,17.5614204406738,10,305,34,1260,85
34.6026532859346,1.02561838536356,446,1899.77014160156,25,19,19,19,30,3204,26,60,39,35,17.5692043304443,8,120,26,1146,85
34.6255699525646,1.02561838536356,329,1938.50988769531,26,18,18,18,30,3121,22,60,42,32,17.581470489502,17,-285,84,1191,81
34.5714032859846,1.02353505203356,471,1928.13146972656,24,19,19,19,30,3371,29,65,42,35,17.5329666137695,7,130,19,1785,84
34.6484866191946,1.02353505203356,274,2024.31323242188,27,18,18,18,11,3160,28,58,42,31,17.6029186248779,6,314,16,-20,79
34.6651532858346,1.02353505203356,290,2057.56518554688,28,17,17,17,10,2987,52,56,40,32,17.5895175933838,24,-87,83,-246,84
34.6714032858246,1.02353505203356,279,2068.79321289062,28,18,18,18,50,2812,44,55,41,32,17.5836658477783,18,-418,87,-1190,86
34.5047366194246,1.02145171870356,385,1511.80114746094,22,20,20,20,30,3197,32,57,42,35,17.4873123168945,21,253,18,4334,81
34.5214032860646,1.02145171870356,332,1513.88610839844,22,20,20,20,11,3293,37,59,42,36,17.4992351531982,7,449,18,3231,79
34.6505699525246,1.02145171870356,308,2024.31323242188,27,18,18,18,11,3160,28,58,42,31,17.6029186248779,6,314,16,-20,79
34.5172366194046,1.01936838537356,378,1491.89868164062,23,20,20,20,90,3073,26,56,43,35,17.4938335418701,17,-580,88,5370,79
34.5943199526146,1.01936838537356,432,1887.4765625,26,18,18,18,120,3294,23,61,41,34,17.5614204406738,10,305,34,1260,85
34.6359866192146,1.01936838537356,323,2004.32934570312,26,18,18,18,50,3037,23,58,42,32,17.5972309112549,9,-389,73,1318,80
34.5109866194146,1.01728505204356,360,1467.76989746094,23,20,20,20,10,3007,31,55,41,36,17.4780158996582,17,-552,93,5379,79
34.5276532860546,1.01728505204356,384,1531.48583984375,22,21,21,21,30,3279,35,60,42,36,17.5033073425293,21,370,24,2702,93
34.6359866192146,1.01728505204356,305,2000.21240234375,26,19,19,19,120,3150,36,58,42,32,17.5895233154297,24,409,44,436,83
34.6484866191946,1.01728505204356,288,2022.71423339844,26,19,19,19,90,2977,35,57,41,33,17.593448638916,27,-320,97,913,81
34.6755699524846,1.01728505204356,281,2079.97631835938,30,18,18,18,90,2999,42,56,40,31,17.5752773284912,10,370,58,-1243,81
34.4922366194446,1.01520171871356,394,1598.15222167969,22,19,19,19,90,2993,51,55,42,37,17.4555549621582,11,-399,98,4535,82
34.5693199526546,1.01520171871356,444,1939.64794921875,23,19,19,19,30,3322,32,63,42,35,17.5325889587402,12,228,35,913,80
34.6484866191946,1.01520171871356,301,2022.71423339844,26,19,19,19,90,2977,35,57,41,33,17.593448638916,27,-320,97,913,81
34.5026532860946,1.01311838538356,334,1512.02709960938,23,20,20,20,90,3073,32,57,42,35,17.478141784668,12,14,40,4914,80
34.5964032859446,1.01311838538356,319,1898.8779296875,26,17,17,17,30,3096,20,61,40,34,17.5599403381348,18,-376,97,2102,84
34.6026532859346,1.01311838538356,318,1910.224609375,26,18,18,18,90,3159,27,58,39,34,17.5684661865234,7,147,49,1497,87
34.6297366192246,1.01311838538356,316,1968.70202636719,26,19,19,19,30,3043,22,58,42,32,17.5838890075684,22,-221,63,1260,83
34.6547366191846,1.01311838538356,270,2046.35180664062,27,19,19,19,30,3062,30,58,41,32,17.5969219207764,4,254,13,124,83
34.4964032861046,1.01103505205356,393,1553.36791992188,22,19,19,19,90,3115,46,55,42,36,17.4704456329346,14,116,99,4612,82
34.5922366192846,1.01103505205356,273,1922.29541015625,25,18,18,18,11,3162,27,60,41,34,17.5531406402588,14,-147,31,1963,83
34.5984866192746,1.01103505205356,322,1898.8779296875,26,17,17,17,30,3096,20,61,40,34,17.5599403381348,18,-376,97,2102,84
34.6047366192646,1.01103505205356,307,1910.224609375,26,18,18,18,90,3159,27,58,39,34,17.5684661865234,7,147,49,1497,87
34.6380699525446,1.01103505205356,304,2000.21240234375,26,19,19,19,120,3150,36,58,42,32,17.5895233154297,24,409,44,436,83
34.6547366191846,1.01103505205356,260,2046.35180664062,27,19,19,19,30,3062,30,58,41,32,17.5969219207764,4,254,13,124,83
34.6255699525646,1.00895171872356,275,1964.42456054688,26,19,19,19,30,3083,33,58,41,34,17.5693035125732,9,132,31,1181,93
34.4922366194446,1.00686838539356,381,1602.89074707031,21,20,20,20,10,2900,57,54,42,37,17.4299449920654,9,-480,79,5191,85
34.5151532860746,1.00686838539356,379,1471.01342773438,23,19,19,19,90,2931,33,56,42,35,17.4561805725098,18,-475,69,5433,81
34.5214032860646,1.00686838539356,386,1507.84765625,24,20,20,20,10,3073,43,54,41,35,17.4824542999268,27,-104,81,3941,75
34.5839032859646,1.00686838539356,353,1968.23120117188,24,18,18,18,30,3238,31,60,40,36,17.5401229858398,23,373,31,518,79
34.5880699526246,1.00686838539356,314,1939.07470703125,25,18,18,18,90,3147,32,60,40,34,17.549129486084,5,-39,42,1671,84
34.6568199525146,1.00686838539356,268,2037.27355957031,26,19,19,19,90,2980,27,56,42,32,17.5824546813965,7,98,97,608,82
34.4922366194446,1.00478505206356,377,1602.89074707031,21,20,20,20,10,2900,57,54,42,37,17.4299449920654,9,-480,79,5191,85
34.5068199527546,1.00478505206356,354,1527.00805664062,23,19,19,19,11,3008,32,54,42,35,17.456579208374,8,0,48,5088,81
34.6484866191946,1.00478505206356,288,2007.86181640625,26,19,19,19,90,2916,33,56,42,32,17.5723361968994,7,-175,80,1330,84
34.5047366194246,1.00270171873356,378,1527.00805664062,23,19,19,19,11,3008,32,54,42,35,17.456579208374,8,0,48,5088,81
34.5984866192746,1.00270171873356,324,1908.99096679688,26,18,18,18,90,3046,30,58,40,34,17.550500869751,5,-283,93,2333,87
34.6255699525646,1.00270171873356,268,1964.42456054688,26,19,19,19,30,3083,33,58,41,34,17.5693035125732,9,132,31,1181,93
34.6276532858946,1.00270171873356,260,1983.66357421875,27,19,19,19,30,3022,22,56,40,34,17.5689239501953,8,-163,75,1509,87
34.6297366192246,1.00270171873356,272,1983.66357421875,27,19,19,19,30,3022,22,56,40,34,17.5689239501953,8,-163,75,1509,87
34.6651532858346,1.00270171873356,264,2070.24780273438,27,19,19,19,90,2987,42,57,41,32,17.5887031555176,10,238,34,-223,80
