"annual_precip","clay","h20cap_pf2_0","land_elevation","occ","ph20","silt","temp_annual_range","terrain_slope","tree_cover","wet_index","X","Y","k"
2067.244140625,28,18,3045,36,57,31,17.5907592773438,6,13,88,34.6630699525046,1.01103505205356,346
1575.51501464844,23,20,3068,51,55,36,17.4494609832764,10,98,84,34.4984866194346,1.00895171872356,386
1997.490234375,26,19,2968,24,56,32,17.5746269226074,28,97,84,34.6380699525446,1.00895171872356,332
2007.86181640625,26,19,2916,33,56,32,17.5723361968994,7,80,84,34.6505699525246,1.00895171872356,309
2092.78979492188,30,18,2836,34,54,29,17.5647430419922,17,60,77,34.6776532858146,1.00895171872356,317
1585.09240722656,23,20,3283,35,58,35,17.4969844818115,21,18,87,34.5318199527146,1.00686838539356,385
1983.66357421875,27,19,3022,22,56,34,17.5689239501953,8,75,87,34.6276532858946,1.00686838539356,370
1471.01342773438,23,19,2931,33,56,35,17.4561805725098,18,69,81,34.5130699527446,1.00478505206356,387
1968.23120117188,24,18,3238,31,60,36,17.5401229858398,23,31,79,34.5839032859646,1.00478505206356,517
1922.4462890625,26,18,3080,25,58,33,17.5614948272705,9,60,88,34.6047366192646,1.00478505206356,316
1946.35327148438,26,19,3075,26,58,33,17.5684547424316,7,60,95,34.6109866192546,1.00478505206356,351
1507.84765625,24,20,3073,43,54,35,17.4824542999268,27,81,75,34.5214032860646,1.00270171873356,426
1585.09240722656,23,20,3283,35,58,35,17.4969844818115,21,18,87,34.5318199527146,1.00270171873356,395
1585.09240722656,23,20,3283,35,58,35,17.4969844818115,21,18,87,34.5339032860446,1.00270171873356,410
1855.33825683594,23,20,3241,27,60,36,17.5176239013672,12,35,80,34.5547366193446,1.00270171873356,432
1855.33825683594,23,20,3241,27,60,36,17.5176239013672,12,35,80,34.5589032860046,1.00270171873356,437
1964.42456054688,26,19,3083,33,58,34,17.5693035125732,9,31,93,34.6214032859046,1.00270171873356,359
1997.490234375,26,19,2968,24,56,32,17.5746269226074,28,97,84,34.6380699525446,1.00270171873356,314
1527.7099609375,23,20,2988,44,54,35,17.4273624420166,8,67,83,34.5068199527546,1.00061838540356,427
1688.36364746094,21,20,3082,37,56,36,17.4977588653564,31,97,79,34.5380699527046,1.00061838540356,435
2087.67919921875,28,18,2955,37,55,31,17.5714092254639,15,59,82,34.6734866191546,1.00061838540356,353
1866.76831054688,22,20,3137,19,60,36,17.5140075683594,10,30,84,34.5589032860046,0.998535052073562,429
1923.11791992188,26,18,2974,33,56,33,17.5426692962646,32,97,87,34.6068199525946,0.998535052073562,351
2099.10424804688,29,18,2838,29,54,30,17.5581550598145,14,91,80,34.6776532858146,0.998535052073562,306
2003.34094238281,26,19,2803,25,56,32,17.5492649078369,18,98,86,34.6443199525346,0.996451718743562,300
2023.81323242188,26,19,2863,34,56,32,17.5573921203613,23,97,86,34.6568199525146,0.996451718743562,305
2059.67358398438,27,19,2906,42,54,32,17.5672302246094,21,77,83,34.6609866191746,0.996451718743562,301
2087.67919921875,28,18,2955,37,55,31,17.5714092254639,15,59,82,34.6734866191546,0.996451718743562,327
2093.25610351562,33,18,2631,42,55,30,17.5438079833984,4,31,86,34.6964032857845,0.996451718743562,294
1527.7099609375,23,20,2988,44,54,35,17.4273624420166,8,67,83,34.5068199527546,0.994368385413562,434
1938.84777832031,23,19,3070,29,59,34,17.5390567779541,13,35,86,34.5922366192846,0.994368385413562,381
1948.23315429688,25,19,3086,37,56,33,17.5520038604736,13,70,89,34.6130699525846,0.994368385413562,355
2023.81323242188,26,19,2863,34,56,32,17.5573921203613,23,97,86,34.6526532858546,0.994368385413562,304
2059.67358398438,27,19,2906,42,54,32,17.5672302246094,21,77,83,34.6609866191746,0.994368385413562,318
2093.25610351562,33,18,2631,42,55,30,17.5438079833984,4,31,86,34.6943199524545,0.994368385413562,310
1568.2705078125,24,19,2911,58,54,36,17.3814811706543,14,93,86,34.4964032861046,0.992285052083562,447
1684.69360351562,22,20,3020,41,55,36,17.4737968444824,32,96,81,34.5422366193646,0.992285052083562,396
1867.71716308594,21,20,3076,22,59,36,17.5015716552734,12,18,87,34.5526532860146,0.992285052083562,413
1867.71716308594,21,20,3076,22,59,36,17.5015716552734,12,18,87,34.5547366193446,0.992285052083562,406
1939.91430664062,23,19,3114,30,56,35,17.513786315918,27,54,83,34.5755699526446,0.992285052083562,391
1902.97509765625,23,18,2982,31,56,33,17.502571105957,14,64,80,34.5776532859746,0.992285052083562,423
1927.00305175781,25,19,2974,38,55,33,17.5214977264404,30,62,88,34.6026532859346,0.992285052083562,345
1915.88757324219,25,19,2951,28,55,33,17.5198707580566,20,92,88,34.6109866192546,0.992285052083562,338
2097.80249023438,32,18,2706,38,55,31,17.5422897338867,8,44,88,34.6901532857945,0.992285052083562,308
1616.03100585938,23,20,2793,63,54,37,17.3674163818359,7,69,87,34.4922366194446,0.990201718753562,411
1902.97509765625,23,18,2982,31,56,33,17.502571105957,14,64,80,34.5839032859646,0.990201718753562,400
2010.33911132812,26,19,2983,31,55,32,17.5393753051758,10,97,87,34.6297366192246,0.990201718753562,339
2097.80249023438,32,18,2706,38,55,31,17.5422897338867,8,44,88,34.6922366191245,0.990201718753562,305
1509.35534667969,24,20,2867,54,56,35,17.3849964141846,25,57,84,34.5026532860946,0.988118385423562,379
1902.97509765625,23,18,2982,31,56,33,17.502571105957,14,64,80,34.5818199526346,0.988118385423562,394
1509.35534667969,24,20,2867,54,56,35,17.3849964141846,25,57,84,34.5068199527546,0.986035052093562,389
1509.35534667969,24,20,2867,54,56,35,17.3849964141846,25,57,84,34.5089032860846,0.986035052093562,375
1867.71716308594,21,20,3076,22,59,36,17.5015716552734,12,18,87,34.5568199526746,0.986035052093562,386
2010.33911132812,26,19,2983,31,55,32,17.5393753051758,10,97,87,34.6276532858946,0.986035052093562,306
2070.75659179688,29,18,2857,38,56,31,17.5433616638184,5,42,85,34.6693199524946,0.986035052093562,324
1874.90393066406,22,20,3065,20,57,35,17.4841747283936,4,28,88,34.5547366193446,0.983951718763562,371
1874.90393066406,22,20,3065,20,57,35,17.4841747283936,4,28,88,34.5568199526746,0.983951718763562,380
1874.90393066406,22,20,3065,20,57,35,17.4841747283936,4,28,88,34.5589032860046,0.983951718763562,403
1935.013671875,24,19,2991,29,55,33,17.5080337524414,16,91,93,34.5984866192746,0.983951718763562,333
1893.12780761719,26,19,2884,40,54,33,17.5027332305908,29,97,88,34.6109866192546,0.983951718763562,319
2052.76000976562,27,18,2926,37,54,33,17.5321235656738,8,56,96,34.6359866192146,0.983951718763562,328
2052.76000976562,27,18,2926,37,54,33,17.5321235656738,8,56,96,34.6380699525446,0.983951718763562,346
2052.76000976562,27,18,2926,37,54,33,17.5321235656738,8,56,96,34.6401532858746,0.983951718763562,354
2065.5859375,28,18,2895,29,54,31,17.5295372009277,13,79,90,34.6484866191946,0.983951718763562,318
2065.5859375,28,18,2895,29,54,31,17.5295372009277,13,79,90,34.6505699525246,0.983951718763562,292
1925.81640625,23,19,3079,23,58,34,17.4957847595215,14,51,82,34.5714032859846,0.981868385433562,424
1925.81640625,23,19,3079,23,58,34,17.4957847595215,14,51,82,34.5734866193146,0.981868385433562,455
2052.76000976562,27,18,2926,37,54,33,17.5321235656738,8,56,96,34.6380699525446,0.981868385433562,347
2065.5859375,28,18,2895,29,54,31,17.5295372009277,13,79,90,34.6443199525346,0.981868385433562,328
