X,Y,k,layer,path
34.6047366192646,1.04228505200356,490.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6401532858746,1.04228505200356,380.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6172366192446,1.04020171867356,398.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6089032859246,1.03811838534356,389.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6276532858946,1.03811838534356,410.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6464032858646,1.03811838534356,361.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5193199527346,1.03603505201356,514.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5964032859446,1.03603505201356,441.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6651532858346,1.03603505201356,348.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5484866193546,1.03395171868356,504.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5984866192746,1.03395171868356,432.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6089032859246,1.03395171868356,406.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5151532860746,1.03186838535356,495.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.4984866194346,1.02978505202356,438.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5172366194046,1.02978505202356,493.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5484866193546,1.02978505202356,463.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5505699526846,1.02978505202356,480.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6547366191846,1.02978505202356,366.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.4984866194346,1.02770171869356,427.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6297366192246,1.02770171869356,370.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6589032858446,1.02770171869356,344.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5443199526946,1.02561838536356,468.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5964032859446,1.02561838536356,457.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6214032859046,1.02561838536356,362.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6255699525646,1.02561838536356,377.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6755699524846,1.02561838536356,357.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5318199527146,1.02353505203356,533.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5464032860246,1.02353505203356,485.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5151532860746,1.02145171870356,484.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5214032860646,1.02145171870356,417.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5526532860146,1.02145171870356,501.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6318199525546,1.02145171870356,370.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6214032859046,1.01936838537356,356.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5318199527146,1.01728505204356,425.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5464032860246,1.01728505204356,456.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5526532860146,1.01728505204356,474.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5589032860046,1.01728505204356,492.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6234866192346,1.01728505204356,359.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6255699525646,1.01728505204356,347.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6151532859146,1.01520171871356,321.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6526532858546,1.01520171871356,369.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5901532859546,1.01311838538356,418.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5943199526146,1.01311838538356,354.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6464032858646,1.01311838538356,329.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5172366194046,1.01103505205356,468.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5797366193046,1.01103505205356,459.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6505699525246,1.01103505205356,317.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6630699525046,1.01103505205356,346.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.4984866194346,1.00895171872356,386.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6380699525446,1.00895171872356,332.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6505699525246,1.00895171872356,309.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6776532858146,1.00895171872356,317.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5318199527146,1.00686838539356,385.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6276532858946,1.00686838539356,370.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5130699527446,1.00478505206356,387.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5839032859646,1.00478505206356,517.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6047366192646,1.00478505206356,316.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6109866192546,1.00478505206356,351.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5214032860646,1.00270171873356,426.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5318199527146,1.00270171873356,395.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5339032860446,1.00270171873356,410.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5547366193446,1.00270171873356,432.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5589032860046,1.00270171873356,437.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6214032859046,1.00270171873356,359.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6380699525446,1.00270171873356,314.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5068199527546,1.00061838540356,427.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5380699527046,1.00061838540356,435.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6734866191546,1.00061838540356,353.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5589032860046,0.998535052073562,429.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6068199525946,0.998535052073562,351.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6776532858146,0.998535052073562,306.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6443199525346,0.996451718743562,300.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6568199525146,0.996451718743562,305.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6609866191746,0.996451718743562,301.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6734866191546,0.996451718743562,327.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6964032857845,0.996451718743562,294.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5068199527546,0.994368385413562,434.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5922366192846,0.994368385413562,381.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
