"X","Y","ProfileID","ExMg","ExK","annual_ppt","bareground","driest_ppt","land_elevation","temp_annual_range","temp_seasonality","terrain_slope","topo_pst_index","treecover","valley_depth","veg_index","wetness_index","wettest_ppt"
37.73,-0.05,"KE SOTER_122/2-24",2,0.7,1411.75927734375,1,22.2094459533691,1248,15.7274341583252,77.3860244750977,7,46,24,1429,1247,99,305.684448242188
37.85,-0.16,"KE SOTER_122/2-26",3.5,0.1,1130.25122070312,4,14.3368606567383,804,15.4539613723755,78.5081024169922,2,-131,11,3794,1499,101,262.893524169922
37.83,-0.198,"KE SOTER_122/2-5",0.3,0.01,1141.47314453125,10,16.7744407653809,849,15.4744510650635,78.3801193237305,1,32,9,3588,1743,114,254.552017211914
37.86,-0.22,"KE SOTER_122/2-6a",6.2,0.01,1088.611328125,4,15.49485206604,807,15.4701824188232,79.2023086547852,1,-24,10,3986,1461,109,248.007019042969
37.86,-0.22,"KE SOTER_122/2-6b",2.2,0.92,1088.611328125,4,15.49485206604,807,15.4701824188232,79.2023086547852,1,-24,10,3986,1461,109,248.007019042969
37.5207,-0.4139,"KE SOTER_122/3-128",0.1,0.1,1882.58703613281,0,40.3298263549805,1762,16.4825267791748,86.937629699707,17,222,36,-232,1593,88,408.631866455078
37.538,-0.369,"KE SOTER_122/3-13",0.7,0.1,1833.28918457031,0,38.6580238342285,1744,16.4145565032959,85.9310836791992,9,125,38,991,1223,95,398.051391601562
37.64945,-0.4185,"KE SOTER_122/3-17",0.5,0.2,1597.78308105469,1,29.2605247497559,1351,16.1491889953613,83.3690338134766,9,165,23,-697,1321,94,351.534790039062
37.7264,-0.4404,"KE SOTER_122/3-3",2.3,0.7,1455.20361328125,2,23.2098236083984,1119,15.8175373077393,77.7618865966797,3,79,17,391,1724,99,322.408172607422
37.688,-0.4507,"KE SOTER_122/3-30",0.7,0.2,1466.56420898438,7,22.6983451843262,1168,15.9786720275879,80.4249954223633,4,17,10,96,1747,104,325.381225585938
37.749,-0.4514,"KE SOTER_122/3-4",1.2,0.2,1460.91845703125,3,22.5985794067383,1040,15.712215423584,76.1683349609375,13,70,13,2363,1389,90,324.321228027344
37.5362,-0.3507,"KE SOTER_122/3-48",3.05342465753425,0.456027397260274,1834.91296386719,0,38.7509231567383,1687,16.4011039733887,85.6267852783203,10,-283,74,2173,1438,97,398.824645996094
37.6983,-0.4514,"KE SOTER_122/3-53",0.5,0.7,1460.14501953125,1,22.9430618286133,1151,15.9349813461304,79.6252517700195,2,-12,20,160,1908,105,324.081024169922
37.6983,-0.4549,"KE SOTER_122/3-54",4.4,1,1460.14501953125,1,22.9430618286133,1151,15.9349813461304,79.6252517700195,2,-12,20,160,1908,105,324.081024169922
37.9592,-0.3296,"KE SOTER_122/4-114",1.2,0.2,1133.56970214844,8,12.6620578765869,660,15.3719339370728,80.1136245727539,17,-146,3,4085,1224,85,259.83740234375
37.7663,-0.3086,"KE SOTER_122/4-40",3.5,1,1394.32153320312,4,21.901180267334,988,15.5912656784058,76.1725616455078,3,-26,14,3273,1794,100,306.571655273438
37.8541,-0.3956,"KE SOTER_122/4-6",11.8,0.4,1026.32971191406,16,12.3293752670288,739,15.6295795440674,80.6447219848633,4,-88,2,6070,1351,110,250.326766967773
37.5407,-0.73,"KE SOTER_136/1-22",15,0.5,997.570434570312,17,17.4638519287109,1071,16.4377746582031,84.2729873657227,3,22,5,3420,1818,116,232.862411499023
37.6923,-0.7058,"KE SOTER_136/1-51",3,0.2,1426.51452636719,7,20.271125793457,1151,16.1650466918945,83.5791549682617,4,128,5,2706,1553,98,319.555725097656
37.55,-0.61,"KE SOTER_136/1-8",2.1,0.9,1054.53210449219,9,23.9873199462891,1159,16.3964366912842,84.3131790161133,3,-75,7,1071,1156,107,237.276519775391
37.5803,-0.77782,"KE SOTER_136/3-23",8.7,0.4,1185.09533691406,13,17.9812870025635,1071,16.4107322692871,85.0962982177734,4,-68,7,3412,1477,112,264.696441650391
