ProfileID,LayerNr,ExCa,ExMg,ExNa,ExK,Country,loc_longitude,loc_latitude
KE SOTER_149/1-49,3.000000,24.100000,4.900000,1.300000,0.700000,KE,37.000000,-1.080000
KE SOTER_149/2-3,3.000000,1.300000,0.700000,0.100000,1.000000,KE,37.000000,-1.080000
KE SOTER_149/2-6,3.000000,14.400000,12.500000,2.700000,0.200000,KE,37.380000,-1.130000
KE SOTER_163/4-87,3.000000,2.800000,1.500000,0.100000,0.800000,KE,37.970000,-1.880000
KE SOTER_173/2-153,3.000000,3.700000,3.700000,0.200000,0.200000,KE,37.320000,-2.150000
KE SOTER_173/2-199,3.000000,3.400000,2.100000,0.500000,0.100000,KE,37.450000,-2.120000
KE SOTER_173/3-3,3.000000,53.000000,4.300000,8.500000,1.800000,KE,37.170000,-2.450000
KE SOTER_174/1-58,3.000000,4.100000,3.000000,0.800000,0.200000,KE,37.570000,-2.180000
KE SOTER_174/2-188,3.000000,8.200000,4.600000,0.100000,1.100000,KE,37.290000,-2.070000
KE SOTER_175/2-21,3.000000,4.000000,1.900000,0.200000,0.600000,KE,38.280000,-2.200000
KE SOTER_176-13,3.000000,1.400000,1.100000,0.100000,0.600000,KE,38.280000,-2.380000
KE SOTER_181/1-18,3.000000,7.500000,12.000000,4.800000,4.800000,KE,37.170000,-2.580000
KE SOTER_181/1-26,3.000000,16.000000,10.000000,0.900000,3.000000,KE,37.150000,-2.520000
KE SOTER_181/1-35,3.000000,16.300000,1.400000,12.000000,5.500000,KE,37.250000,-2.600000
KE SOTER_181/1-74,3.000000,46.000000,22.000000,8.800000,2.100000,KE,37.080000,-2.570000
KE SOTER_181/4-62,3.000000,27.000000,6.600000,0.600000,2.300000,KE,37.350000,-2.750000
KE SOTER_181/4-99,3.000000,14.400000,8.100000,1.000000,1.700000,KE,37.450000,-2.780000
KE SOTER_182/1-10,3.000000,60.000000,16.000000,5.500000,1.300000,KE,37.660000,-2.850000
KE SOTER_182/1-40,3.000000,38.000000,22.000000,6.400000,1.000000,KE,37.620000,-2.620000
KE SOTER_182/1-44,3.000000,24.000000,9.000000,0.600000,4.800000,KE,37.710000,-2.510000
KE SOTER_182/1-9,3.000000,43.000000,8.800000,19.000000,2.300000,KE,37.608100,-2.833300
KE SOTER_182/2-73,3.000000,28.000000,4.700000,0.900000,2.600000,KE,37.890000,-2.710000
KE SOTER_182/3-12,3.000000,51.000000,9.000000,3.000000,9.500000,KE,37.520000,-2.780000
KE SOTER_182/3-98,3.000000,7.800000,4.700000,0.700000,0.300000,KE,37.750000,-2.800000
KE SOTER_182/4-75,3.000000,7.200000,2.200000,0.300000,0.400000,KE,37.990000,-2.850000
KE SOTER_182/4-78,3.000000,62.000000,18.300000,1.600000,4.800000,KE,37.600000,-2.500000
KE SOTER_184-23,3.000000,7.600000,1.500000,0.200000,0.300000,KE,39.000000,-2.900000
KE SOTER_184-46,3.000000,7.000000,3.700000,0.100000,1.300000,KE,38.800000,-2.700000
KE SOTER_184-50,3.000000,4.700000,4.500000,0.200000,1.500000,KE,38.600000,-2.950000
KE SOTER_184-54,3.000000,11.300000,4.800000,5.500000,1.700000,KE,38.950000,-2.850000
KE SOTER_184-55,3.000000,6.100000,2.900000,0.200000,1.400000,KE,38.900000,-2.700000
KE SOTER_187/3-12,3.000000,51.000000,9.000000,3.000000,9.500000,KE,37.520000,-2.780000
KE SOTER_190/2-102,3.000000,0.000000,7.700000,0.400000,0.600000,KE,38.980000,-3.200000
KE SOTER_190/2-212,3.000000,49.000000,1.700000,0.500000,0.600000,KE,38.870000,-3.080000
KE SOTER_190/3-210,3.000000,6.200000,1.900000,0.200000,0.700000,KE,38.520000,-3.270000
KE SOTER_190/3-4,3.000000,1.200000,1.400000,0.200000,0.700000,KE,38.610000,-3.330000
KE SOTER_190/4-91,3.000000,5.000000,5.300000,0.200000,1.300000,KE,38.830000,-3.380000
