"annual_precip","clay","h20cap_pf2_0","land_elevation","occ","ph20","silt","terrain_slope","wet_index","X","Y","mg"
1533.28100585938,21,20,3221,26,62,37,11,85,34.5276532860546,1.02978505202356,397
2015.35949707031,29,18,3169,31,61,32,16,85,34.6484866191946,1.02978505202356,316
2046.67858886719,28,18,2991,29,58,32,28,84,34.6630699525046,1.02978505202356,289
1533.28100585938,21,20,3221,26,62,37,11,85,34.5297366193846,1.02770171869356,344
1904.982421875,25,18,3440,29,65,33,10,83,34.5734866193146,1.02770171869356,454
1998.69873046875,28,18,3227,29,61,33,5,84,34.6401532858746,1.02770171869356,322
1507.96118164062,21,20,3213,25,60,37,11,88,34.5297366193846,1.02561838536356,349
1649.17614746094,23,19,3368,28,64,36,8,92,34.5505699526846,1.02561838536356,465
1887.4765625,26,18,3294,23,61,34,10,85,34.5943199526146,1.02561838536356,450
1899.77014160156,25,19,3204,26,60,35,8,85,34.6026532859346,1.02561838536356,446
1938.50988769531,26,18,3121,22,60,32,17,81,34.6255699525646,1.02561838536356,329
1928.13146972656,24,19,3371,29,65,35,7,84,34.5714032859846,1.02353505203356,471
2024.31323242188,27,18,3160,28,58,31,6,79,34.6484866191946,1.02353505203356,274
2057.56518554688,28,17,2987,52,56,32,24,84,34.6651532858346,1.02353505203356,290
2068.79321289062,28,18,2812,44,55,32,18,86,34.6714032858246,1.02353505203356,279
1511.80114746094,22,20,3197,32,57,35,21,81,34.5047366194246,1.02145171870356,385
1513.88610839844,22,20,3293,37,59,36,7,79,34.5214032860646,1.02145171870356,332
2024.31323242188,27,18,3160,28,58,31,6,79,34.6505699525246,1.02145171870356,308
1491.89868164062,23,20,3073,26,56,35,17,79,34.5172366194046,1.01936838537356,378
1887.4765625,26,18,3294,23,61,34,10,85,34.5943199526146,1.01936838537356,432
2004.32934570312,26,18,3037,23,58,32,9,80,34.6359866192146,1.01936838537356,323
1467.76989746094,23,20,3007,31,55,36,17,79,34.5109866194146,1.01728505204356,360
1531.48583984375,22,21,3279,35,60,36,21,93,34.5276532860546,1.01728505204356,384
2000.21240234375,26,19,3150,36,58,32,24,83,34.6359866192146,1.01728505204356,305
2022.71423339844,26,19,2977,35,57,33,27,81,34.6484866191946,1.01728505204356,288
2079.97631835938,30,18,2999,42,56,31,10,81,34.6755699524846,1.01728505204356,281
1598.15222167969,22,19,2993,51,55,37,11,82,34.4922366194446,1.01520171871356,394
1939.64794921875,23,19,3322,32,63,35,12,80,34.5693199526546,1.01520171871356,444
2022.71423339844,26,19,2977,35,57,33,27,81,34.6484866191946,1.01520171871356,301
1512.02709960938,23,20,3073,32,57,35,12,80,34.5026532860946,1.01311838538356,334
1898.8779296875,26,17,3096,20,61,34,18,84,34.5964032859446,1.01311838538356,319
1910.224609375,26,18,3159,27,58,34,7,87,34.6026532859346,1.01311838538356,318
1968.70202636719,26,19,3043,22,58,32,22,83,34.6297366192246,1.01311838538356,316
2046.35180664062,27,19,3062,30,58,32,4,83,34.6547366191846,1.01311838538356,270
1553.36791992188,22,19,3115,46,55,36,14,82,34.4964032861046,1.01103505205356,393
1922.29541015625,25,18,3162,27,60,34,14,83,34.5922366192846,1.01103505205356,273
1898.8779296875,26,17,3096,20,61,34,18,84,34.5984866192746,1.01103505205356,322
1910.224609375,26,18,3159,27,58,34,7,87,34.6047366192646,1.01103505205356,307
2000.21240234375,26,19,3150,36,58,32,24,83,34.6380699525446,1.01103505205356,304
2046.35180664062,27,19,3062,30,58,32,4,83,34.6547366191846,1.01103505205356,260
1964.42456054688,26,19,3083,33,58,34,9,93,34.6255699525646,1.00895171872356,275
1602.89074707031,21,20,2900,57,54,37,9,85,34.4922366194446,1.00686838539356,381
