"annual_precip","occ","ph20","tree_cover","X","Y","mg"
2096.5693359375,60,56,69,36.660964331835,-0.89313621138906,177
2084.19702148438,56,55,69,36.6755475403853,-0.89313621138906,198
2078.64477539062,54,55,74,36.6776308558925,-0.89313621138906,187
2073.8203125,40,51,69,36.7047139574858,-0.89313621138906,181
2075.80322265625,48,52,77,36.7442969521222,-0.89313621138906,188
2039.51635742188,55,52,53,36.7672134227011,-0.89313621138906,194
2007.65380859375,39,55,47,36.7880465777729,-0.89313621138906,231
1982.15576171875,52,51,30,36.8067964173375,-0.89313621138906,290
1964.07836914062,41,52,60,36.8172129948734,-0.89313621138906,347
1913.3232421875,37,54,75,36.8380461499452,-0.89313621138906,331
1860.31164550781,38,54,22,36.8630459360314,-0.89313621138906,328
1822.39245605469,41,57,42,36.8713791980601,-0.89313621138906,356
1838.115234375,40,61,54,36.5859649735766,-0.895219565425534,369
1900.91528320312,38,59,15,36.5963815511125,-0.895219565425534,366
1935.57141113281,39,60,22,36.6088814441556,-0.895219565425534,376
2040.11669921875,39,58,16,36.6380478612561,-0.895219565425534,306
