"annual_precip","land_elevation","occ","X","Y","mg"
1251.49487304688,1864,23,35.0568199518744,0.73395171916357,272
1251.49487304688,1864,23,35.0589032852044,0.73395171916357,287
1293.40771484375,1854,29,35.0651532851944,0.73395171916357,311
1181.24401855469,1878,19,35.1172366184443,0.73395171916357,382
1162.66491699219,1786,22,35.0484866185544,0.73186838583357,356
1293.40771484375,1854,29,35.0672366185244,0.73186838583357,317
1167.43310546875,1893,22,35.1339032850843,0.73186838583357,388
1382.52038574219,1749,27,34.9672366186844,0.72978505250357,320
1475.10205078125,1784,28,34.9734866186744,0.72978505250357,326
1428.3994140625,1734,24,34.9901532853144,0.72978505250357,283
1133.2705078125,1699,22,35.0068199519544,0.72978505250357,310
1076.71813964844,1737,17,35.0234866185944,0.72978505250357,302
1098.91076660156,1784,19,35.0422366185644,0.72978505250357,286
1162.66491699219,1786,22,35.0443199518944,0.72978505250357,305
1161.34948730469,1894,22,35.1422366184043,0.72978505250357,393
1266.04223632812,1758,26,34.9568199520344,0.72770171917357,305
1475.10205078125,1784,28,34.9734866186744,0.72770171917357,297
1509.46875,1809,27,34.9797366186644,0.72770171917357,305
1265.92700195312,1699,23,34.9943199519744,0.72770171917357,310
1265.92700195312,1699,23,34.9984866186344,0.72770171917357,305
1098.91076660156,1784,19,35.0359866185744,0.72770171917357,368
1098.91076660156,1784,19,35.0380699519044,0.72770171917357,311
1098.91076660156,1784,19,35.0401532852344,0.72770171917357,299
1169.171875,1930,21,35.1464032850643,0.72770171917357,387
1169.171875,1930,21,35.1484866183943,0.72770171917357,368
1203.20129394531,1629,17,34.9255699520844,0.72561838584357,323
1143.0078125,1702,21,34.9505699520444,0.72561838584357,342
1122.94604492188,1701,17,35.0172366186044,0.72561838584357,331
1340.14794921875,1896,24,35.0672366185244,0.72561838584357,310
1167.65014648438,1902,19,35.1318199517543,0.72561838584357,391
1173.15185546875,1929,19,35.1464032850643,0.72561838584357,393
1173.15185546875,1929,19,35.1505699517243,0.72561838584357,361
1091.35717773438,1654,18,34.9297366187444,0.72353505251357,309
1507.12719726562,1814,27,34.9859866186544,0.72353505251357,321
1203.02722167969,1896,24,35.1026532851343,0.72353505251357,389
1167.65014648438,1902,19,35.1297366184243,0.72353505251357,364
1514.13513183594,1826,24,34.9755699520044,0.72145171918357,321
1209.83422851562,1704,21,35.0047366186244,0.72145171918357,307
1209.83422851562,1704,21,35.0068199519544,0.72145171918357,322
1085.14147949219,1723,17,35.0234866185944,0.71936838585357,307
1203.02722167969,1896,24,35.1047366184643,0.71936838585357,421
1203.02819824219,1893,21,35.1130699517843,0.71936838585357,397
1068.90417480469,1623,18,34.9276532854144,0.71728505252357,310
1065.40222167969,1668,14,34.9401532853944,0.71728505252357,291
1104.0322265625,1676,19,34.9505699520444,0.71728505252357,314
1176.85314941406,1709,26,34.9526532853744,0.71728505252357,330
1304.8681640625,1781,29,34.9672366186844,0.71728505252357,286
1515.24963378906,1812,26,34.9901532853144,0.71728505252357,331
1311.28308105469,1737,21,35.0089032852844,0.71728505252357,322
1094.2587890625,1747,20,35.0318199519144,0.71728505252357,312
1291.4794921875,1876,25,35.0714032851844,0.71728505252357,367
1515.24963378906,1812,26,34.9859866186544,0.71520171919357,325
1223.06469726562,1892,17,35.0922366184843,0.71520171919357,379
1229.05822753906,1896,19,35.0943199518143,0.71520171919357,371
1220.52111816406,1912,19,35.1234866184343,0.71520171919357,434
1455.87573242188,1828,23,34.9693199520144,0.71311838586357,311
1455.87573242188,1828,23,34.9714032853444,0.71311838586357,302
1325.06225585938,1900,26,35.0651532851944,0.71311838586357,332
1235.30627441406,1914,20,35.1130699517843,0.71311838586357,415
1220.52111816406,1912,19,35.1214032851043,0.71311838586357,425
1194.06420898438,1907,19,35.1276532850943,0.71311838586357,436
1068.90417480469,1623,18,34.9339032854044,0.71103505253357,297
1176.85314941406,1709,26,34.9568199520344,0.71103505253357,326
1116.8642578125,1789,29,35.0380699519044,0.71103505253357,367
1223.06469726562,1892,17,35.0880699518243,0.71103505253357,374
1050.46264648438,1634,18,34.9401532853944,0.70895171920357,297
