"annual_precip","clay","occ","ph20","tree_cover","X","Y","k"
2130.93701171875,28,60,53,61,36.7130472195145,-0.826468882221886,305
2123.32690429688,29,50,51,57,36.719297166036,-0.826468882221886,286
2033.31726074219,32,49,50,70,36.7380470056006,-0.826468882221886,307
1906.66687011719,38,32,61,7,36.5984648666197,-0.82855223625836,600
2039.8525390625,33,47,58,96,36.6422144922704,-0.82855223625836,521
2062.2607421875,32,46,58,15,36.6651309628494,-0.82855223625836,519
2128.48974609375,27,62,52,59,36.7088805885002,-0.82855223625836,291
2130.93701171875,28,60,53,61,36.7130472195145,-0.82855223625836,306
2123.32690429688,29,50,51,57,36.7255471125576,-0.82855223625836,297
2094.28002929688,29,41,50,62,36.7317970590791,-0.82855223625836,278
2094.28002929688,29,41,50,62,36.7338803745863,-0.82855223625836,275
2033.31726074219,32,49,50,70,36.7380470056006,-0.82855223625836,308
2011.38024902344,35,50,60,82,36.6297145992274,-0.830635590294834,535
2039.8525390625,33,47,58,96,36.6401311767633,-0.830635590294834,510
2039.8525390625,33,47,58,96,36.6422144922704,-0.830635590294834,503
2118.05249023438,26,59,52,63,36.7005473264714,-0.830635590294834,301
1964.88330078125,41,34,60,25,36.6130480751699,-0.832718944331308,550
1964.88330078125,41,34,60,25,36.6172147061843,-0.832718944331308,559
2020.37719726562,35,49,59,59,36.6297145992274,-0.832718944331308,504
2071.83764648438,31,48,59,54,36.6547143853135,-0.832718944331308,447
2071.83764648438,31,48,59,54,36.6588810163279,-0.832718944331308,453
2129.01025390625,27,57,50,62,36.7151305350217,-0.832718944331308,298
2100.83544921875,31,47,50,77,36.7401303211078,-0.832718944331308,297
2063.90966796875,31,57,51,97,36.7463802676294,-0.832718944331308,289
2063.90966796875,31,57,51,97,36.7484635831365,-0.832718944331308,382
2033.43603515625,33,55,50,73,36.7630467916868,-0.832718944331308,700
1964.88330078125,41,34,60,25,36.6172147061843,-0.834802298367782,576
1987.56970214844,39,37,60,73,36.6192980216915,-0.834802298367782,594
2072.53271484375,32,48,59,36,36.6672142783566,-0.834802298367782,487
2116.00805664062,26,56,52,48,36.6942973799499,-0.834802298367782,321
2124.4130859375,25,55,52,69,36.706797272993,-0.834802298367782,308
2124.4130859375,25,55,52,69,36.7088805885002,-0.834802298367782,301
2129.01025390625,27,57,50,62,36.7151305350217,-0.834802298367782,288
2126.19873046875,29,46,52,76,36.7276304280648,-0.834802298367782,284
1964.88330078125,41,34,60,25,36.6109647596628,-0.836885652404256,532
2064.61694335938,32,53,60,13,36.6505477542992,-0.836885652404256,488
2072.53271484375,32,48,59,36,36.660964331835,-0.836885652404256,454
2129.01025390625,27,57,50,62,36.7130472195145,-0.836885652404256,292
2131.68212890625,29,52,51,61,36.7234637970504,-0.836885652404256,305
2131.68212890625,29,52,51,61,36.7255471125576,-0.836885652404256,298
2063.90966796875,31,57,51,97,36.7463802676294,-0.836885652404256,304
2018.6396484375,35,55,51,78,36.7713800537155,-0.836885652404256,732
1987.56970214844,39,37,60,73,36.6234646527058,-0.838969006440731,537
2129.01025390625,27,57,50,62,36.7109639040073,-0.838969006440731,302
2100.83544921875,31,47,50,77,36.742213636615,-0.838969006440731,285
2063.90966796875,31,57,51,97,36.7442969521222,-0.838969006440731,287
2063.90966796875,31,57,51,97,36.7484635831365,-0.838969006440731,316
2041.45959472656,32,58,51,97,36.7526302141509,-0.838969006440731,298
2033.43603515625,33,55,50,73,36.7630467916868,-0.838969006440731,722
1944.17224121094,38,30,60,18,36.6005481821269,-0.841052360477205,614
1965.36511230469,40,31,61,18,36.6026314976341,-0.841052360477205,599
2051.0673828125,33,51,58,58,36.6380478612561,-0.841052360477205,507
2051.0673828125,33,51,58,58,36.6401311767633,-0.841052360477205,487
2084.90234375,30,51,57,52,36.6755475403853,-0.841052360477205,398
2109.66552734375,26,53,54,59,36.6942973799499,-0.841052360477205,334
2109.66552734375,26,53,54,59,36.6963806954571,-0.841052360477205,326
2114.8857421875,26,51,53,54,36.7026306419786,-0.841052360477205,318
2114.8857421875,26,51,53,54,36.7088805885002,-0.841052360477205,307
2130.63623046875,28,44,53,71,36.7255471125576,-0.841052360477205,292
2136.14331054688,28,38,51,77,36.7317970590791,-0.841052360477205,317
2136.14331054688,28,38,51,77,36.7338803745863,-0.841052360477205,319
2087.259765625,33,49,51,91,36.7609634761796,-0.841052360477205,664
1965.36511230469,40,31,61,18,36.6067981286484,-0.843135714513679,565
1998.94555664062,39,41,60,14,36.6234646527058,-0.843135714513679,546
2025.56958007812,35,43,58,90,36.6338812302417,-0.843135714513679,529
2080.0048828125,31,53,56,78,36.6630476473422,-0.843135714513679,420
2084.90234375,30,51,57,52,36.6692975938638,-0.843135714513679,383
2102.93237304688,28,45,54,58,36.6901307489355,-0.843135714513679,347
2102.93237304688,28,45,54,58,36.6922140644427,-0.843135714513679,343
2109.66552734375,26,53,54,59,36.6942973799499,-0.843135714513679,345
2114.8857421875,26,51,53,54,36.7047139574858,-0.843135714513679,348
2136.14331054688,28,38,51,77,36.7338803745863,-0.843135714513679,303
2130.3193359375,31,42,50,82,36.7359636900935,-0.843135714513679,297
2087.259765625,33,49,51,91,36.7672134227011,-0.843135714513679,744
2024.90771484375,34,55,53,85,36.7797133157442,-0.843135714513679,730
1977.22900390625,33,62,53,89,36.7859632622658,-0.843135714513679,726
1944.17224121094,38,30,60,18,36.6005481821269,-0.845219068550153,568
2094.85888671875,30,53,56,25,36.6817974869068,-0.845219068550153,345
2114.8857421875,26,51,53,54,36.706797272993,-0.845219068550153,343
2118.5380859375,31,45,50,97,36.7442969521222,-0.845219068550153,290
2104.638671875,33,49,50,92,36.7526302141509,-0.845219068550153,296
2024.90771484375,34,55,53,85,36.7817966312514,-0.845219068550153,747
1977.22900390625,33,62,53,89,36.7922132087873,-0.845219068550153,754
2025.56958007812,35,43,58,90,36.6317979147345,-0.847302422586627,512
2051.0673828125,33,51,58,58,36.6359645457489,-0.847302422586627,492
2136.14331054688,28,38,51,77,36.7297137435719,-0.847302422586627,270
2118.5380859375,31,45,50,97,36.7484635831365,-0.847302422586627,320
2104.638671875,33,49,50,92,36.7547135296581,-0.847302422586627,303
2104.638671875,33,49,50,92,36.7567968451653,-0.847302422586627,299
2087.259765625,33,49,51,91,36.7630467916868,-0.847302422586627,293
2024.90771484375,34,55,53,85,36.777630000237,-0.847302422586627,713
1983.26501464844,39,33,61,11,36.6109647596628,-0.849385776623102,545
2003.36584472656,39,34,60,14,36.6213813371987,-0.849385776623102,531
2003.36584472656,39,34,60,14,36.625547968213,-0.849385776623102,564
2054.7119140625,32,53,60,48,36.6380478612561,-0.849385776623102,478
2054.7119140625,32,53,60,48,36.6422144922704,-0.849385776623102,439
2075.47680664062,31,53,57,60,36.648464438792,-0.849385776623102,411
2075.47680664062,31,53,57,60,36.6505477542992,-0.849385776623102,430
