"annual_precip","land_elevation","occ","ph20","temp_annual_range","tree_cover","X","Y","k"
719.790954589844,1600,7,67,17.975471496582,4,36.1880517112309,0.192291242236025,739
714.360046386719,1630,13,63,17.9459705352783,31,36.2068015508031,0.192291242236025,774
687.043701171875,1752,14,62,17.8948268890381,7,36.2422179144395,0.192291242236025,845
942.741821289062,1673,8,63,17.9972839355469,11,36.1755518181828,0.190207888198758,587
727.4716796875,1688,11,66,17.9312782287598,7,36.2130514973272,0.190207888198758,687
727.4716796875,1688,11,66,17.9312782287598,7,36.2151348128352,0.190207888198758,724
727.4716796875,1688,11,66,17.9312782287598,7,36.2172181283432,0.190207888198758,800
826.877319335938,1651,8,66,17.9863243103027,1,36.1838850802149,0.188124534161491,727
714.360046386719,1630,13,63,17.9459705352783,31,36.2026349197871,0.188124534161491,792
727.4716796875,1688,11,66,17.9312782287598,7,36.2172181283432,0.188124534161491,784
716.017517089844,1694,12,68,17.9174671173096,5,36.2234680748673,0.188124534161491,770
694.744812011719,1712,10,68,17.9041423797607,6,36.2318013368994,0.188124534161491,755
687.043701171875,1752,14,62,17.8948268890381,7,36.2422179144395,0.188124534161491,881
879.951416015625,1673,8,66,18.0248584747314,12,36.1526353475945,0.186041180124223,571
960.606262207031,1761,6,64,18.010534286499,11,36.1672185561507,0.186041180124223,567
719.790954589844,1600,7,67,17.975471496582,4,36.1859683957229,0.186041180124223,726
694.378479003906,1587,14,64,17.9617118835449,9,36.200551604279,0.186041180124223,742
727.4716796875,1688,11,66,17.9312782287598,7,36.2109681818192,0.186041180124223,684
694.744812011719,1712,10,68,17.9041423797607,6,36.2276347058834,0.186041180124223,714
853.062072753906,1690,8,62,18.0303573608398,10,36.1588852941186,0.183957826086956,583
875.788330078125,1702,9,62,18.0031642913818,15,36.1713851871667,0.183957826086956,614
875.788330078125,1702,9,62,18.0031642913818,15,36.1734685026747,0.183957826086956,655
789.282958984375,1651,9,64,17.9916114807129,6,36.1838850802149,0.183957826086956,735
752.619384765625,1698,7,66,17.9506587982178,12,36.2068015508031,0.183957826086956,727
752.619384765625,1698,7,66,17.9506587982178,12,36.2088848663111,0.183957826086956,663
749.216491699219,1683,9,61,17.9246425628662,11,36.2213847593593,0.183957826086956,753
673.083190917969,1720,8,63,17.896879196167,5,36.2380512834235,0.183957826086956,842
875.788330078125,1702,9,62,18.0031642913818,15,36.1755518181828,0.181874472049689,637
723.519653320312,1620,9,66,17.9791984558105,11,36.1880517112309,0.181874472049689,756
723.519653320312,1620,9,66,17.9791984558105,11,36.1901350267389,0.181874472049689,736
723.519653320312,1620,9,66,17.9791984558105,11,36.192218342247,0.181874472049689,734
724.321960449219,1715,9,63,17.9645729064941,32,36.200551604279,0.181874472049689,684
698.084411621094,1698,7,65,17.9102039337158,3,36.2338846524074,0.181874472049689,817
673.083190917969,1720,8,63,17.896879196167,5,36.2401345989315,0.181874472049689,835
853.062072753906,1690,8,62,18.0303573608398,10,36.1588852941186,0.179791118012422,545
789.282958984375,1651,9,64,17.9916114807129,6,36.1838850802149,0.179791118012422,731
723.519653320312,1620,9,66,17.9791984558105,11,36.1880517112309,0.179791118012422,750
752.619384765625,1698,7,66,17.9506587982178,12,36.2068015508031,0.179791118012422,630
771.59521484375,1699,9,62,17.9379844665527,16,36.2172181283432,0.179791118012422,667
749.216491699219,1683,9,61,17.9246425628662,11,36.2213847593593,0.179791118012422,725
698.084411621094,1698,7,65,17.9102039337158,3,36.2318013368994,0.179791118012422,809
790.763793945312,1628,9,62,18.0454177856445,19,36.1505520320865,0.177707763975155,524
853.062072753906,1690,8,62,18.0303573608398,10,36.1588852941186,0.177707763975155,528
752.619384765625,1698,7,66,17.9506587982178,12,36.2088848663111,0.177707763975155,697
749.216491699219,1683,9,61,17.9246425628662,11,36.2234680748673,0.177707763975155,799
698.084411621094,1698,7,65,17.9102039337158,3,36.2276347058834,0.177707763975155,792
675.4453125,1742,12,60,17.889310836792,5,36.2443012299476,0.177707763975155,857
779.959899902344,1606,8,66,18.0505962371826,11,36.1484687165784,0.175624409937888,580
829.425476074219,1649,9,64,18.0226516723633,9,36.1651352406426,0.175624409937888,680
748.438171386719,1628,8,62,17.9970569610596,13,36.1797184491988,0.175624409937888,657
679.407897949219,1775,13,63,17.8962745666504,4,36.2526344919796,0.175624409937888,859
814.877258300781,1666,8,66,18.0361862182617,6,36.1526353475945,0.173541055900621,580
800.278747558594,1666,9,63,18.0093593597412,10,36.1713851871667,0.173541055900621,626
748.438171386719,1628,8,62,17.9970569610596,13,36.1797184491988,0.173541055900621,637
715.171997070312,1687,8,62,17.9172554016113,9,36.2276347058834,0.173541055900621,802
814.877258300781,1666,8,66,18.0361862182617,6,36.1547186631025,0.171457701863354,627
748.438171386719,1628,8,62,17.9970569610596,13,36.1776351336908,0.171457701863354,652
748.438171386719,1628,8,62,17.9970569610596,13,36.1838850802149,0.171457701863354,693
724.019653320312,1631,8,62,17.9835224151611,7,36.1901350267389,0.171457701863354,679
784.795776367188,1735,8,62,17.9597206115723,9,36.2047182352951,0.171457701863354,662
784.795776367188,1735,8,62,17.9597206115723,9,36.2088848663111,0.171457701863354,683
823.475341796875,1768,8,63,17.9519729614258,18,36.2151348128352,0.171457701863354,704
798.723510742188,1753,12,60,17.9367256164551,17,36.2193014438513,0.171457701863354,697
715.171997070312,1687,8,62,17.9172554016113,9,36.2276347058834,0.171457701863354,807
715.171997070312,1687,8,62,17.9172554016113,9,36.2318013368994,0.171457701863354,782
665.597473144531,1703,8,62,17.9022560119629,5,36.2401345989315,0.171457701863354,835
779.959899902344,1606,8,66,18.0505962371826,11,36.1505520320865,0.169374347826087,718
724.019653320312,1631,8,62,17.9835224151611,7,36.1880517112309,0.169374347826087,661
742.691528320312,1731,9,62,17.9694633483887,15,36.194301657755,0.169374347826087,644
784.795776367188,1735,8,62,17.9597206115723,9,36.2088848663111,0.169374347826087,671
679.407897949219,1775,13,63,17.8962745666504,4,36.2588844385037,0.169374347826087,794
828.244750976562,1763,10,62,17.944429397583,23,36.2234680748673,0.16729099378882,755
664.502258300781,1694,9,61,17.908145904541,3,36.2422179144395,0.16729099378882,820
670.629272460938,1772,9,63,17.894847869873,4,36.2547178074877,0.16729099378882,843
775.004028320312,1645,7,63,18.0281639099121,6,36.1630519251346,0.165207639751553,692
745.297790527344,1614,7,63,18.015064239502,1,36.1693018716587,0.165207639751553,695
664.502258300781,1694,9,61,17.908145904541,3,36.2380512834235,0.165207639751553,790
656.551635742188,1721,7,62,17.8964519500732,3,36.2463845454556,0.165207639751553,815
688.036743164062,1839,15,61,17.9084739685059,13,36.2672177005358,0.165207639751553,669
722.224609375,1621,7,62,18.0018863677979,8,36.1797184491988,0.163124285714285,739
747.6181640625,1716,7,65,17.9745864868164,10,36.200551604279,0.163124285714285,729
729.690795898438,1685,12,61,17.9232349395752,11,36.2297180213914,0.163124285714285,852
664.502258300781,1694,9,61,17.908145904541,3,36.2380512834235,0.163124285714285,829
670.629272460938,1772,9,63,17.894847869873,4,36.2568011229957,0.163124285714285,861
781.00390625,1611,8,67,18.0415363311768,7,36.1547186631025,0.161040931677018,715
797.181579589844,1746,8,64,17.9658279418945,10,36.2026349197871,0.161040931677018,754
797.181579589844,1746,8,64,17.9658279418945,10,36.2088848663111,0.161040931677018,758
748.550231933594,1641,6,66,18.0327129364014,12,36.1651352406426,0.158957577639751,718
712.479309082031,1627,6,69,18.0064373016357,1,36.1776351336908,0.158957577639751,783
743.633422851562,1720,7,63,17.9800109863281,9,36.196384973263,0.158957577639751,733
795.1689453125,1721,8,67,17.9721794128418,10,36.2047182352951,0.158957577639751,756
742.923645019531,1692,11,62,17.9290447235107,8,36.2276347058834,0.158957577639751,855
742.923645019531,1692,11,62,17.9290447235107,8,36.2338846524074,0.158957577639751,848
712.479309082031,1627,6,69,18.0064373016357,1,36.1818017647068,0.156874223602484,691
795.1689453125,1721,8,67,17.9721794128418,10,36.2026349197871,0.156874223602484,770
669.881958007812,1695,9,59,17.9139652252197,1,36.2359679679155,0.156874223602484,812
654.459350585938,1714,9,60,17.9016571044922,1,36.2484678609636,0.156874223602484,836
678.700134277344,1802,9,64,17.9038219451904,2,36.2609677540117,0.156874223602484,731
855.992309570312,1786,9,66,17.9728145599365,8,36.2151348128352,0.154790869565217,762
654.459350585938,1714,9,60,17.9016571044922,1,36.2484678609636,0.154790869565217,823
748.550231933594,1641,6,66,18.0327129364014,12,36.1609686096266,0.15270751552795,760
724.085754394531,1697,7,66,17.9929656982422,1,36.1880517112309,0.15270751552795,720
855.992309570312,1786,9,66,17.9728145599365,8,36.2109681818192,0.15270751552795,742
742.923645019531,1692,11,62,17.9290447235107,8,36.2297180213914,0.15270751552795,790
774.510864257812,1598,7,68,18.0499038696289,5,36.1526353475945,0.150624161490683,718
735.668029785156,1691,8,64,17.9859809875488,10,36.194301657755,0.150624161490683,779
851.305053710938,1828,13,65,17.9842491149902,12,36.2130514973272,0.150624161490683,745
843.5810546875,1732,10,67,17.962345123291,8,36.2213847593593,0.150624161490683,755
843.5810546875,1732,10,67,17.962345123291,8,36.2234680748673,0.150624161490683,762
657.587768554688,1711,11,60,17.9072952270508,9,36.2443012299476,0.150624161490683,897
671.631530761719,1792,9,63,17.9038677215576,1,36.2630510695198,0.150624161490683,731
685.68408203125,1857,19,62,17.9181709289551,4,36.2755509625679,0.150624161490683,695
774.510864257812,1598,7,68,18.0499038696289,5,36.1547186631025,0.148540807453416,707
711.312072753906,1590,7,68,18.0238208770752,0,36.1755518181828,0.148540807453416,714
708.686645507812,1660,8,63,18.0109729766846,13,36.1776351336908,0.148540807453416,728
708.686645507812,1660,8,63,18.0109729766846,13,36.1818017647068,0.148540807453416,722
843.5810546875,1732,10,67,17.962345123291,8,36.2234680748673,0.148540807453416,764
681.170837402344,1702,9,62,17.9201183319092,3,36.2422179144395,0.148540807453416,852
657.587768554688,1711,11,60,17.9072952270508,9,36.2484678609636,0.148540807453416,787
719.597229003906,2034,23,61,17.9178028106689,14,36.2776342780759,0.148540807453416,647
735.668029785156,1691,8,64,17.9859809875488,10,36.196384973263,0.146457453416149,776
660.309448242188,1741,8,62,17.8993377685547,6,36.2547178074877,0.146457453416149,783
685.68408203125,1857,19,62,17.9181709289551,4,36.2734676470599,0.146457453416149,717
774.510864257812,1598,7,68,18.0499038696289,5,36.1526353475945,0.144374099378882,698
740.734069824219,1616,8,67,18.0368461608887,10,36.1630519251346,0.144374099378882,708
708.686645507812,1660,8,63,18.0109729766846,13,36.1838850802149,0.144374099378882,706
735.668029785156,1691,8,64,17.9859809875488,10,36.194301657755,0.144374099378882,777
