"annual_precip","land_cover","land_elevation","occ","ph20","sand","silt","tree_cover","X","Y","mg"
723.519653320312,10,1620,9,66,38,23,11,36.1859683957229,0.179791118012422,925
690.10791015625,10,1811,17,61,31,25,8,36.2526344919796,0.179791118012422,1024
790.763793945312,10,1628,9,62,39,23,19,36.1505520320865,0.177707763975155,687
853.062072753906,10,1690,8,62,40,21,10,36.1568019786105,0.177707763975155,619
723.519653320312,10,1620,9,66,38,23,11,36.1901350267389,0.177707763975155,729
724.321960449219,120,1715,9,63,38,23,32,36.200551604279,0.177707763975155,637
771.59521484375,30,1699,9,62,39,23,16,36.2109681818192,0.177707763975155,652
675.4453125,11,1742,12,60,32,27,5,36.2484678609636,0.177707763975155,1066
800.278747558594,10,1666,9,63,39,22,10,36.1713851871667,0.175624409937888,661
748.438171386719,10,1628,8,62,38,22,13,36.1776351336908,0.175624409937888,697
