"X","Y","k","annual_ppt","bareground","elevation","occ","ph20","slope","temp_annual_range","topo_pst_index","treecover","valley_depth","veg_index","wetness_index"
34.4901532861146,0.892285052243563,354,1780.22314453125,0,2438,34,53,14,17.2099208831787,161,92,4745,1975,94
34.5943199526146,0.892285052243563,366,1799.5810546875,0,2357,34,58,7,17.3409271240234,-238,40,1961,1787,90
34.6068199525946,0.890201718913563,356,1881.42639160156,1,2383,35,57,12,17.3937759399414,239,15,839,1770,93
34.5193199527346,0.888118385583563,448,1581.9541015625,0,2204,33,55,12,17.4211177825928,-768,95,5956,1620,84
34.6859866191345,0.888118385583563,401,1739.87097167969,0,2199,27,54,15,17.791072845459,-293,97,1745,1956,87
35.0234866185944,0.888118385583563,320,1196.04016113281,0,1771,23,61,2,18.698184967041,-91,26,1393,1698,108
34.7776532856545,0.883951718923563,432,1892.5517578125,2,2098,31,60,4,18.1134147644043,110,19,95,1443,89
34.4693199528146,0.881868385593563,346,1600.96691894531,0,2338,40,58,6,17.3380699157715,586,41,5616,1561,85
34.5276532860546,0.881868385593563,456,1684.39392089844,0,2331,34,57,14,17.3544006347656,51,65,3357,1903,83
34.7339032857245,0.881868385593563,406,1913.92260742188,4,2144,36,61,6,17.9580974578857,74,16,1505,1147,87
34.7880699523045,0.881868385593563,359,1768.34985351562,2,1950,25,60,5,18.3152503967285,-132,15,701,1161,91
34.6193199525746,0.879785052263563,401,1820.53161621094,0,2237,27,56,15,17.5479488372803,-266,44,1833,1440,85
35.0964032851443,0.879785052263563,305,1168.80700683594,1,1799,22,59,5,18.6786251068115,-74,21,1062,1545,100
34.4526532861747,0.877701718933563,437,1430.08203125,0,2129,39,62,20,17.6223773956299,423,68,8125,1023,84
35.0630699518644,0.877701718933563,336,1413.43762207031,4,1843,20,60,3,18.6335163116455,97,11,749,1397,102
34.6255699525646,0.875618385603563,415,1733.06982421875,0,2277,26,54,16,17.5804462432861,81,94,1331,1634,89
34.7089032857645,0.875618385603563,393,1852.38635253906,0,2190,23,55,12,17.8530769348145,42,97,1507,1432,88
35.0130699519444,0.875618385603563,294,1278.41101074219,5,1785,23,61,3,18.6866264343262,-17,12,1264,1590,104
34.6047366192646,0.873535052273563,355,1903.1025390625,2,2292,34,60,7,17.5283298492432,120,13,658,1455,86
