X,Y,k
34.6047366192646,0.873535052273563,355.00000000
34.6589032858446,0.873535052273563,410.00000000
34.7797366189845,0.873535052273563,360.00000000
35.0005699519644,0.871451718943563,301.00000000
34.6797366191445,0.869368385613563,381.00000000
34.7130699524245,0.869368385613563,399.00000000
34.4568199528346,0.867285052283563,389.00000000
34.5797366193046,0.867285052283563,390.00000000
34.7547366190245,0.867285052283563,369.00000000
34.9714032853444,0.867285052283563,284.00000000
35.1047366184643,0.867285052283563,276.00000000
34.4734866194746,0.865201718953563,349.00000000
35.0047366186244,0.865201718953563,251.00000000
34.4922366194446,0.863118385623563,321.00000000
34.9964032853044,0.861035052293563,317.00000000
35.0776532851743,0.861035052293563,400.00000000
34.9797366186644,0.858951718963563,233.00000000
35.1089032851243,0.856868385633563,313.00000000
34.5589032860046,0.854785052303563,412.00000000
35.0339032852444,0.854785052303563,280.00000000
35.0484866185544,0.854785052303563,302.00000000
35.0651532851944,0.854785052303563,310.00000000
34.4255699528847,0.852701718973563,324.00000000
34.4255699528847,0.850618385643563,288.00000000
34.6089032859246,0.850618385643563,411.00000000
34.6484866191946,0.850618385643563,455.00000000
35.0464032852244,0.850618385643563,306.00000000
35.0568199518744,0.850618385643563,304.00000000
34.4693199528146,0.848535052313563,366.00000000
34.5193199527346,0.848535052313563,364.00000000
34.5964032859446,0.848535052313563,414.00000000
34.5464032860246,0.846451718983563,400.00000000
34.6130699525846,0.846451718983563,402.00000000
34.9880699519844,0.846451718983563,288.00000000
34.5276532860546,0.844368385653563,360.00000000
34.5547366193446,0.844368385653563,375.00000000
34.7005699524445,0.844368385653563,307.00000000
34.5359866193746,0.842285052323563,403.00000000
34.6672366191645,0.842285052323563,383.00000000
34.9714032853444,0.842285052323563,283.00000000
34.4547366195047,0.840201718993563,263.00000000
34.5714032859846,0.840201718993563,425.00000000
34.5734866193146,0.840201718993563,392.00000000
34.6505699525246,0.840201718993563,397.00000000
34.6589032858446,0.840201718993563,398.00000000
35.0276532852544,0.840201718993563,295.00000000
34.7339032857245,0.838118385663563,278.00000000
34.4172366195647,0.836035052333563,240.00000000
34.4318199528747,0.836035052333563,227.00000000
34.4401532861947,0.836035052333563,265.00000000
34.7276532857345,0.836035052333563,269.00000000
34.7776532856545,0.836035052333563,371.00000000
34.4984866194346,0.833951719003563,363.00000000
34.5797366193046,0.833951719003563,391.00000000
34.7464032857045,0.833951719003563,259.00000000
34.4880699527846,0.831868385673563,316.00000000
34.5214032860646,0.831868385673563,397.00000000
34.6547366191846,0.831868385673563,332.00000000
34.9776532853344,0.831868385673563,272.00000000
34.6151532859146,0.829785052343563,327.00000000
34.9318199520744,0.825618385683563,277.00000000
34.9734866186744,0.825618385683563,249.00000000
34.9964032853044,0.825618385683563,294.00000000
34.5797366193046,0.823535052353563,325.00000000
34.7276532857345,0.823535052353563,252.00000000
34.9859866186544,0.823535052353563,318.00000000
35.0443199518944,0.821451719023563,271.00000000
35.1276532850943,0.821451719023563,370.00000000
34.6839032858045,0.819368385693563,274.00000000
34.7609866190145,0.819368385693563,307.00000000
34.7297366190645,0.817285052363563,242.00000000
34.8630699521845,0.817285052363563,281.00000000
34.8943199521344,0.817285052363563,255.00000000
35.1089032851243,0.817285052363563,373.00000000
34.4922366194446,0.815201719033563,314.00000000
34.5172366194046,0.815201719033563,341.00000000
34.6047366192646,0.815201719033563,315.00000000
34.8109866189345,0.815201719033563,303.00000000
34.9547366187044,0.815201719033563,280.00000000
35.0776532851743,0.815201719033563,348.00000000
35.0839032851643,0.815201719033563,382.00000000
34.6651532858345,0.813118385703563,290.00000000
34.8443199522145,0.813118385703563,292.00000000
34.9276532854144,0.813118385703563,293.00000000
35.0339032852444,0.813118385703563,308.00000000
34.4255699528847,0.811035052373563,190.00000000
34.4651532861546,0.811035052373563,248.00000000
35.0401532852344,0.811035052373563,281.00000000
35.0984866184743,0.811035052373563,417.00000000
34.4151532862347,0.808951719043563,225.00000000
34.5026532860946,0.808951719043563,282.00000000
34.5297366193846,0.808951719043563,270.00000000
34.6964032857845,0.808951719043563,248.00000000
34.6984866191145,0.808951719043563,240.00000000
34.8401532855545,0.808951719043563,290.00000000
34.8734866188344,0.808951719043563,253.00000000
35.1339032850843,0.808951719043563,358.00000000
34.4068199529147,0.806868385713563,219.00000000
34.6255699525646,0.806868385713563,238.00000000
34.6922366191245,0.806868385713563,275.00000000
34.7068199524345,0.806868385713563,243.00000000
34.8109866189345,0.806868385713563,293.00000000
34.9839032853244,0.806868385713563,367.00000000
35.0234866185944,0.806868385713563,273.00000000
34.4964032861046,0.804785052383563,245.00000000
34.5547366193446,0.804785052383563,343.00000000
34.6880699524645,0.804785052383563,260.00000000
34.7651532856745,0.804785052383563,247.00000000
34.8401532855545,0.804785052383563,306.00000000
34.4047366195847,0.802701719053563,219.00000000
34.8026532856145,0.800618385723563,222.00000000
35.1443199517343,0.800618385723563,428.00000000
34.4193199528947,0.798535052393563,218.00000000
34.4714032861446,0.798535052393563,221.00000000
34.8547366188645,0.798535052393563,211.00000000
34.9234866187544,0.798535052393563,330.00000000
35.0339032852444,0.798535052393563,285.00000000
34.6172366192446,0.796451719063563,207.00000000
34.7005699524445,0.796451719063563,238.00000000
34.7589032856845,0.796451719063563,266.00000000
35.0026532852944,0.796451719063563,246.00000000
34.8568199521945,0.794368385733563,204.00000000
34.9068199521144,0.794368385733563,312.00000000
34.9484866187144,0.794368385733563,279.00000000
35.1380699517443,0.794368385733563,396.00000000
34.6505699525246,0.792285052403563,171.00000000
34.7193199524145,0.792285052403563,218.00000000
35.0380699519044,0.792285052403563,329.00000000
35.1297366184243,0.792285052403563,442.00000000
34.4380699528647,0.790201719073563,199.00000000
34.5943199526146,0.790201719073563,309.00000000
34.7109866190945,0.790201719073563,217.00000000
34.8505699522045,0.790201719073563,209.00000000
34.4734866194746,0.788118385743563,216.00000000
34.5776532859746,0.788118385743563,289.00000000
34.5339032860446,0.786035052413563,264.00000000
34.6109866192546,0.786035052413563,191.00000000
34.9047366187844,0.786035052413563,250.00000000
34.4255699528847,0.783951719083563,205.00000000
34.4943199527746,0.783951719083563,229.00000000
34.7484866190345,0.783951719083563,251.00000000
34.8484866188745,0.783951719083563,212.00000000
34.9714032853444,0.783951719083563,311.00000000
34.3818199529547,0.781868385753563,213.00000000
34.5422366193646,0.781868385753563,234.00000000
35.0901532851543,0.781868385753563,438.00000000
34.4401532861947,0.779785052423563,214.00000000
34.4714032861446,0.779785052423563,219.00000000
35.0922366184843,0.779785052423563,434.00000000
34.3693199529747,0.777701719093563,225.00000000
34.3964032862647,0.777701719093563,200.00000000
34.6464032858646,0.777701719093563,177.00000000
34.7464032857045,0.777701719093563,242.00000000
34.7984866189545,0.777701719093563,201.00000000
34.5505699526846,0.775618385763563,220.00000000
35.0026532852944,0.775618385763563,231.00000000
34.8380699522245,0.773535052433563,202.00000000
