"annual_ppt","elevation","occ","ph20","slope","temp_annual_range","treecover","wetness_index","X","Y","k"
1166.97021484375,1688,21,60,5,18.7011127471924,14,102,34.9234866187544,0.798535052393563,330
1389.21862792969,1800,18,59,4,18.6715774536133,12,107,35.0339032852444,0.798535052393563,285
1437.62951660156,1656,26,57,6,18.2265338897705,37,90,34.6172366192446,0.796451719063563,207
1154.64367675781,1747,15,58,4,18.7241363525391,13,102,35.0026532852944,0.796451719063563,246
1374.94616699219,1693,15,60,2,18.6391201019287,16,102,34.8568199521945,0.794368385733563,204
1279.70483398438,1684,19,59,4,18.6874866485596,24,104,34.9068199521144,0.794368385733563,312
1233.92846679688,1710,18,61,3,18.7218036651611,13,105,34.9484866187144,0.794368385733563,279
1499.71655273438,1690,18,58,5,18.442455291748,19,107,34.7193199524145,0.792285052403563,218
1376.42065429688,1794,16,60,4,18.679220199585,15,105,35.0380699519044,0.792285052403563,329
1116.24792480469,1852,16,59,3,18.6542358398438,7,111,35.1297366184243,0.792285052403563,442
1273.70495605469,1495,16,59,4,17.7245845794678,21,104,34.4380699528647,0.790201719073563,199
1868.63122558594,1699,38,57,10,18.1488723754883,22,80,34.5943199526146,0.790201719073563,309
1498.32885742188,1708,17,57,3,18.4170169830322,29,106,34.7109866190945,0.790201719073563,217
1404.53283691406,1717,17,60,4,18.6232891082764,17,101,34.8505699522045,0.790201719073563,209
1285.05126953125,1520,16,57,7,17.797191619873,28,92,34.4734866194746,0.788118385743563,216
1838.62414550781,1805,34,57,29,18.0784397125244,43,76,34.5776532859746,0.788118385743563,289
1453.38757324219,1602,18,58,3,18.1783962249756,44,95,34.6109866192546,0.786035052413563,191
1255.74475097656,1469,14,60,3,17.7022972106934,9,110,34.4255699528847,0.783951719083563,205
1287.63586425781,1606,15,60,7,17.8628387451172,11,97,34.4943199527746,0.783951719083563,229
1404.53283691406,1717,17,60,4,18.6232891082764,17,101,34.8484866188745,0.783951719083563,212
1157.38073730469,1701,20,59,2,18.7360801696777,36,104,34.9714032853444,0.783951719083563,311
1071.78063964844,1339,9,60,5,17.6538543701172,17,106,34.3818199529547,0.781868385753563,213
1362.23254394531,1644,26,57,7,18.0137348175049,27,83,34.5422366193646,0.781868385753563,234
1308.49169921875,1486,16,60,7,17.7101230621338,16,104,34.4401532861947,0.779785052423563,214
1217.86889648438,1482,15,58,5,17.7806282043457,28,96,34.4714032861446,0.779785052423563,219
1111.59545898438,1782,15,58,2,18.7026805877686,13,108,35.0922366184843,0.779785052423563,434
1078.06994628906,1306,8,59,7,17.6294174194336,16,103,34.3693199529747,0.777701719093563,225
1387.0537109375,1639,18,58,5,18.2633056640625,26,105,34.6464032858646,0.777701719093563,177
1447.99462890625,1672,21,58,4,18.4698734283447,21,113,34.7464032857045,0.777701719093563,242
1472.06884765625,1667,29,57,8,18.048957824707,31,81,34.5505699526846,0.775618385763563,220
1195.21447753906,1774,18,58,7,18.7154026031494,12,96,35.0047366186244,0.773535052433563,239
1086.72180175781,1768,22,60,3,18.7307415008545,10,106,35.0755699518444,0.773535052433563,424
1100.1279296875,1797,18,58,3,18.7063636779785,11,105,35.0797366185043,0.773535052433563,419
1346.70275878906,1490,17,59,4,17.7063827514648,8,104,34.4505699528447,0.771451719103563,226
1217.7763671875,1579,14,58,9,17.8632431030273,17,95,34.5047366194246,0.771451719103563,210
1377.41796875,1617,17,57,5,18.2423686981201,18,106,34.6464032858646,0.771451719103563,147
1217.7763671875,1579,14,58,9,17.8632431030273,17,95,34.5047366194246,0.769368385773563,205
1480.40393066406,1726,18,60,4,18.6502647399902,11,99,34.8839032854844,0.769368385773563,245
1429.26379394531,1673,21,60,3,18.6744537353516,22,102,34.9109866187744,0.769368385773563,233
1379.20727539062,1672,21,60,3,18.468864440918,13,109,34.7547366190245,0.767285052443563,212
1551.42517089844,1643,22,57,4,18.0472984313965,35,89,34.5672366193246,0.765201719113563,217
1110.62438964844,1678,22,60,3,18.7122535705566,12,106,34.9568199520344,0.765201719113563,237
1808.19665527344,1761,34,57,27,18.125150680542,40,83,34.5943199526146,0.763118385783563,203
1113.78100585938,1719,16,58,5,18.7422943115234,11,98,34.9964032853044,0.763118385783563,258
1177.16345214844,1872,17,60,5,18.6365947723389,7,106,35.1047366184643,0.763118385783563,431
1090.13122558594,1799,21,58,11,18.7091217041016,4,100,35.0839032851643,0.761035052453563,351
1303.97692871094,1649,22,59,2,18.4668273925781,14,112,34.7651532856745,0.758951719123563,160
1124.12768554688,1708,16,58,5,18.7267475128174,8,102,34.9734866186744,0.758951719123563,256
1090.13122558594,1799,21,58,11,18.7091217041016,4,100,35.0797366185043,0.758951719123563,350
1236.67492675781,1895,20,58,5,18.613109588623,8,108,35.1214032851043,0.758951719123563,443
1228.69360351562,1424,12,59,7,17.7145118713379,13,97,34.4568199528346,0.756868385793563,222
1196.06225585938,1494,13,59,5,17.7815380096436,19,93,34.4964032861046,0.756868385793563,176
1583.25854492188,1608,15,58,1,18.1524658203125,37,113,34.6276532858946,0.756868385793563,125
1174.61462402344,1523,17,58,10,17.7555198669434,11,99,34.4943199527746,0.754785052463563,180
1058.19873046875,1689,15,58,2,18.7557945251465,14,99,35.0276532852544,0.754785052463563,301
1418.18872070312,1611,20,56,14,17.9010696411133,13,88,34.5214032860646,0.750618385803563,188
1572.48400878906,1678,20,57,2,18.44260597229,29,116,34.7464032857045,0.750618385803563,230
1653.57556152344,1600,17,59,2,18.1173992156982,17,107,34.6172366192446,0.748535052473563,123
1617.09924316406,1594,18,58,2,18.1320819854736,28,111,34.6234866192346,0.748535052473563,132
1169.64562988281,1659,26,60,5,18.7197532653809,12,98,34.9755699520044,0.748535052473563,257
1213.03356933594,1627,14,58,4,18.340482711792,19,103,34.7172366190845,0.746451719143563,124
1152.82336425781,1468,14,58,6,17.7124767303467,30,103,34.4630699528246,0.744368385813563,208
1213.03356933594,1627,14,58,4,18.340482711792,19,103,34.7172366190845,0.744368385813563,121
1410.22155761719,1622,20,58,1,18.4464092254639,22,112,34.7651532856745,0.744368385813563,182
1290.51538085938,1561,16,57,3,18.1642208099365,35,103,34.6526532858546,0.742285052483563,124
1221.73400878906,1659,20,61,5,18.6801509857178,12,100,34.9318199520744,0.742285052483563,224
1248.08520507812,1391,12,60,5,17.658935546875,17,107,34.4401532861947,0.740201719153563,210
1186.38208007812,1407,12,59,6,17.6753005981445,8,109,34.4464032861847,0.740201719153563,201
1395.47668457031,1670,17,58,6,18.3976249694824,12,105,34.7422366190445,0.740201719153563,130
1282.93395996094,1689,22,60,4,18.7231311798096,8,94,34.9922366186444,0.740201719153563,345
1159.18859863281,1673,23,60,5,18.7351531982422,13,98,34.9984866186344,0.740201719153563,319
