"elevation","occ","ph20","slope","wetness_index","X","Y","mg"
1654,17,56,3,103,34.8901532854744,0.669368385933564,234
1651,17,56,4,103,34.9089032854444,0.669368385933564,336
1656,18,55,3,103,34.9234866187544,0.669368385933564,337
1839,18,57,4,112,35.0109866186144,0.667285052603564,388
1637,20,56,5,100,34.8880699521444,0.663118385943564,286
1397,11,58,5,100,34.4922366194446,0.661035052613564,226
1501,17,59,5,99,34.5526532860146,0.661035052613564,215
1547,18,58,4,97,34.7401532857145,0.661035052613564,220
1512,16,58,3,110,34.6526532858546,0.658951719283564,201
1820,26,59,9,92,34.9797366186644,0.656868385953564,297
1591,16,59,5,102,34.8359866188945,0.652701719293564,285
1618,22,56,4,99,34.8943199521344,0.652701719293564,287
1320,12,57,3,110,34.4318199528747,0.650618385963564,229
1423,12,57,6,97,34.5005699527646,0.650618385963564,263
1494,16,56,4,112,34.6651532858345,0.650618385963564,193
1885,18,57,2,116,35.0464032852244,0.650618385963564,357
1519,14,58,6,99,34.5089032860846,0.648535052633564,195
1470,16,59,2,106,34.7214032857445,0.648535052633564,252
1645,17,58,4,101,34.7734866189945,0.648535052633564,202
1841,21,59,2,104,34.9880699519844,0.648535052633564,340
1544,18,57,10,94,34.7464032857045,0.646451719303564,224
1544,18,57,10,94,34.7526532856945,0.644368385973564,215
1794,23,60,0,101,35.0089032852844,0.640201719313564,319
1885,16,59,3,101,35.0589032852044,0.640201719313564,319
1465,17,56,2,101,34.5401532860346,0.638118385983564,256
1577,13,58,3,107,34.8089032856045,0.638118385983564,251
1611,17,54,5,96,34.5693199526546,0.636035052653564,196
1456,17,59,1,109,34.7172366190845,0.636035052653564,285
1613,17,59,5,104,34.8609866188545,0.636035052653564,225
1487,17,58,2,116,34.6964032857845,0.633951719323564,210
1285,12,56,7,100,34.3922366196047,0.631868385993564,237
1661,19,56,5,96,34.7734866189945,0.631868385993564,200
1828,22,60,4,104,35.0172366186044,0.631868385993564,368
1556,15,59,8,102,34.8339032855645,0.629785052663564,305
1807,23,59,5,99,35.0297366185844,0.629785052663564,356
1678,15,57,6,98,34.9005699521244,0.623535052673564,249
