"X","Y","mg","annual_precip","clay","h20_cap","land_elevation","occ","ph20","sand","silt","temp_annual_range","terrain_slope","topo_pst_index","valley_depth","wet_index"
35.1359866184143,0.80895171904357,310,1113.18737792969,46,27,1847,20,58,35,20,18.6465644836426,4,-43,1364,111
35.0714032851844,0.80686838571357,267,1159.74499511719,47,27,1809,15,59,33,20,18.694242477417,3,48,1255,108
35.1255699517643,0.80686838571357,301,1099.17272949219,46,28,1834,17,57,34,20,18.6744194030762,4,40,1354,108
35.0651532851944,0.80478505238357,301,1141.58959960938,47,28,1787,14,58,33,20,18.7100238800049,3,-20,1461,107
35.0901532851543,0.80478505238357,314,1199.44445800781,46,27,1820,15,59,34,20,18.681827545166,5,-18,1242,108
35.1276532850943,0.80478505238357,303,1109.89855957031,46,27,1859,21,59,34,20,18.652702331543,3,131,1154,114
35.1339032850843,0.80478505238357,319,1109.89855957031,46,27,1859,21,59,34,20,18.652702331543,3,131,1154,114
35.0672366185244,0.80270171905357,290,1141.58959960938,47,28,1787,14,58,33,20,18.7100238800049,3,-20,1461,107
35.1151532851143,0.80270171905357,332,1098.74035644531,47,28,1795,17,60,32,21,18.6953983306885,5,-134,1699,114
35.1172366184443,0.80270171905357,321,1098.74035644531,47,28,1795,17,60,32,21,18.6953983306885,5,-134,1699,114
35.1214032851043,0.80270171905357,297,1099.17272949219,46,28,1834,17,57,34,20,18.6744194030762,4,40,1354,108
35.0693199518544,0.80061838572357,286,1131.90710449219,47,28,1780,16,58,33,20,18.7148056030273,2,-28,1472,108
35.0776532851743,0.79853505239357,291,1137.61901855469,47,27,1804,15,58,33,20,18.7043304443359,3,70,1374,111
35.1047366184643,0.79853505239357,323,1106.31042480469,46,28,1778,16,59,34,20,18.7026271820068,3,-136,1745,113
35.1109866184543,0.79853505239357,373,1094.0244140625,47,28,1810,17,61,33,20,18.6897983551025,4,3,1698,109
35.1359866184143,0.79645171906357,326,1119.11682128906,46,27,1844,18,58,34,20,18.6482448577881,4,-71,1508,112
35.0922366184843,0.79228505240357,348,1109.58959960938,47,28,1771,17,62,32,20,18.71435546875,4,-106,1942,110
35.1214032851043,0.79228505240357,325,1111.41162109375,48,28,1843,15,58,32,20,18.6660118103027,0,68,1502,113
35.1339032850843,0.79020171907357,323,1127.57238769531,46,28,1857,19,59,34,20,18.64892578125,4,14,1517,110
35.0651532851944,0.78811838574357,357,1161.85241699219,46,28,1756,16,61,33,21,18.7240123748779,4,-61,1675,106
35.0734866185144,0.78811838574357,314,1112.560546875,46,28,1776,16,60,33,21,18.7269706726074,3,-8,1720,109
35.0839032851643,0.78811838574357,342,1109.0673828125,47,28,1775,17,61,32,21,18.7201175689697,4,-25,1656,109
35.0922366184843,0.78811838574357,321,1109.58959960938,47,28,1771,17,62,32,20,18.71435546875,4,-106,1942,110
35.1047366184643,0.78811838574357,323,1103.19909667969,47,28,1789,18,63,33,20,18.6956443786621,3,-72,1901,110
35.1422366184043,0.78603505241357,304,1133.12060546875,46,28,1850,16,59,33,20,18.6420040130615,2,-27,1556,112
35.0693199518544,0.78395171908357,322,1101.6689453125,45,28,1758,17,59,34,20,18.7309398651123,5,-89,1979,108
35.0943199518143,0.78395171908357,301,1119.21228027344,46,27,1810,15,58,34,20,18.6910552978516,3,4,1710,109
35.0776532851743,0.78186838575357,307,1102.11022949219,46,28,1777,17,59,34,21,18.7150802612305,4,-27,1878,108
35.1214032851043,0.78186838575357,317,1131.39831542969,47,28,1830,19,58,34,20,18.6632843017578,4,-109,1644,107
35.1380699517443,0.78186838575357,340,1148.96569824219,46,27,1862,21,58,34,20,18.6348304748535,1,9,1530,113
35.1443199517343,0.78186838575357,339,0,0,0,0,0,0,0,0,0,0,0,0,0
