"X","Y","k","annual_precip","clay","h20_cap","land_elevation","occ","ph20","sand","silt","temp_annual_range","terrain_slope","topo_pst_index","valley_depth","wet_index"
35.0922366184843,0.84436838565357,312,1292.68664550781,46,27,1858,21,58,35,19,18.6222095489502,3,64,588,106
35.0297366185844,0.84228505232357,284,1165.61267089844,46,28,1776,22,60,34,20,18.703498840332,5,-90,1446,104
35.0526532852144,0.84228505232357,362,1209.02990722656,47,28,1834,17,62,32,21,18.6578731536865,3,74,710,106
35.0734866185144,0.84020171899357,372,1244.41125488281,48,27,1849,20,60,33,20,18.6370143890381,3,51,741,108
35.0589032852044,0.83603505233357,364,1209.02990722656,47,28,1834,17,62,32,21,18.6578731536865,3,74,710,106
35.0818199518343,0.83395171900357,303,1305.076171875,48,27,1875,20,58,33,19,18.6262054443359,2,86,393,107
35.1151532851143,0.83395171900357,350,1189.81176757812,47,28,1866,18,57,33,19,18.6384658813477,4,59,598,109
35.0443199518944,0.83186838567357,314,1169.48449707031,48,28,1812,15,59,32,20,18.685094833374,4,49,982,105
35.0526532852144,0.83186838567357,285,1173.57336425781,47,28,1802,16,59,33,20,18.6804904937744,3,-78,1143,105
35.0651532851944,0.83186838567357,326,1185.66345214844,47,27,1821,17,59,33,20,18.6679344177246,3,-40,992,105
35.0547366185444,0.82978505234357,278,1173.57336425781,47,28,1802,16,59,33,20,18.6804904937744,3,-78,1143,105
35.0922366184843,0.82978505234357,323,1336.04504394531,47,27,1867,18,58,35,19,18.6208171844482,4,78,492,112
35.0943199518143,0.82978505234357,329,1279.42980957031,46,28,1843,19,59,34,19,18.6388092041016,3,-67,758,110
35.1359866184143,0.82978505234357,369,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0568199518744,0.82770171901357,313,1173.57336425781,47,28,1802,16,59,33,20,18.6804904937744,3,-78,1143,105
35.0901532851543,0.82770171901357,332,1336.04504394531,47,27,1867,18,58,35,19,18.6208171844482,4,78,492,112
35.0984866184743,0.82770171901357,348,1279.42980957031,46,28,1843,19,59,34,19,18.6388092041016,3,-67,758,110
35.0359866185744,0.82561838568357,293,1158.62231445312,47,28,1775,19,60,33,20,18.7121772766113,4,-59,1375,106
35.0630699518644,0.82561838568357,302,1167.17553710938,48,28,1816,17,59,32,20,18.6769199371338,2,5,1129,107
35.0526532852144,0.82353505235357,295,1146.0908203125,48,28,1804,15,58,32,20,18.6926383972168,4,14,1190,106
35.0609866185344,0.82353505235357,336,1167.17553710938,48,28,1816,17,59,32,20,18.6769199371338,2,5,1129,107
35.0776532851743,0.82353505235357,331,1287.21350097656,48,27,1867,20,58,33,19,18.638240814209,3,106,735,108
35.1089032851243,0.82353505235357,346,1192.62854003906,46,28,1816,22,60,34,20,18.6663436889648,1,-97,1220,110
35.1234866184343,0.82353505235357,338,1129.00122070312,44,27,1839,12,60,36,20,18.6603889465332,4,22,996,109
35.0901532851543,0.82145171902357,404,1323.78833007812,47,27,1868,19,58,34,19,18.632926940918,2,108,553,110
35.0943199518143,0.82145171902357,380,1272.89782714844,47,28,1837,21,59,34,19,18.649320602417,2,-26,932,108
35.1047366184643,0.82145171902357,368,1192.62854003906,46,28,1816,22,60,34,20,18.6663436889648,1,-97,1220,110
35.1109866184543,0.82145171902357,356,1147.65222167969,46,28,1841,19,57,34,20,18.6660537719727,4,16,968,108
35.0672366185244,0.81936838569357,367,1167.17553710938,48,28,1816,17,59,32,20,18.6769199371338,2,5,1129,107
35.0693199518544,0.81936838569357,340,1215.15844726562,48,27,1838,20,59,33,20,18.6581497192383,3,20,987,106
35.0714032851844,0.81936838569357,319,1215.15844726562,48,27,1838,20,59,33,20,18.6581497192383,3,20,987,106
35.1214032851043,0.81936838569357,357,1129.00122070312,44,27,1839,12,60,36,20,18.6603889465332,4,22,996,109
35.0464032852244,0.81728505236357,301,1148.84875488281,48,28,1771,23,62,32,20,18.7170085906982,4,-71,1436,107
35.0484866185544,0.81728505236357,311,1148.84875488281,48,28,1771,23,62,32,20,18.7170085906982,4,-71,1436,107
35.0547366185444,0.81728505236357,341,1136.27172851562,49,28,1783,16,60,31,20,18.7077865600586,3,-8,1267,107
35.0755699518444,0.81728505236357,345,1191.06921386719,48,28,1819,16,60,33,19,18.6751842498779,6,-31,1166,107
