"annual_ppt","elevation","occ","slope","temp_annual_range","treecover","wetness_index","X","Y","k"
1341.17858886719,1836,35,12,17.9163608551025,24,81,34.4693199528146,0.848535052313563,366
1791.66528320312,2083,39,14,17.8504161834717,18,87,34.6130699525846,0.846451718983563,402
1512.486328125,2044,33,6,17.6793937683105,85,90,34.5276532860546,0.844368385653563,360
1997.80456542969,2209,46,19,17.523006439209,24,86,34.5547366193446,0.844368385653563,375
1816.55603027344,1976,31,3,18.1862907409668,31,93,34.7005699524445,0.844368385653563,307
1612.70361328125,2181,44,17,17.6224956512451,34,84,34.5359866193746,0.842285052323563,403
1817.36206054688,2068,37,12,18.0085926055908,16,88,34.6672366191645,0.842285052323563,383
1251.97277832031,1659,29,8,17.9296932220459,20,84,34.4547366195047,0.840201718993563,263
1919.49926757812,2177,49,15,17.7010593414307,26,95,34.5714032859846,0.840201718993563,425
1783.97302246094,2019,35,11,18.0456352233887,28,88,34.6505699525246,0.840201718993563,397
1743.59497070312,2003,30,10,18.0930976867676,24,89,34.6589032858446,0.840201718993563,398
1230.74584960938,1771,20,4,18.6995697021484,21,103,35.0276532852544,0.840201718993563,295
1644.93115234375,1774,29,25,18.4618091583252,48,89,34.7339032857245,0.838118385663563,278
1156.05603027344,1531,16,12,17.8236408233643,18,96,34.4318199528747,0.836035052333563,227
1166.52258300781,1563,22,7,17.8446254730225,22,94,34.4401532861947,0.836035052333563,265
1694.30871582031,1827,37,17,18.3922748565674,29,90,34.7276532857345,0.836035052333563,269
1313.87451171875,1702,18,2,18.5726337432861,39,97,34.7776532856545,0.836035052333563,371
1548.97827148438,1744,21,4,18.5187339782715,12,91,34.7464032857045,0.833951719003563,259
1387.70397949219,1835,42,27,17.94482421875,16,87,34.5214032860646,0.831868385673563,397
1731.83642578125,1932,33,13,18.1604518890381,19,88,34.6547366191846,0.831868385673563,332
1375.94653320312,1808,13,7,18.6681957244873,13,95,34.9776532853344,0.831868385673563,272
1766.4443359375,1996,44,13,18.0211620330811,33,85,34.6151532859146,0.829785052343563,327
1375.94653320312,1808,13,7,18.6681957244873,13,95,34.9734866186744,0.825618385683563,249
1992.89916992188,2026,38,18,17.8250694274902,13,92,34.5797366193046,0.823535052353563,325
1536.68786621094,1739,21,3,18.485050201416,16,96,34.7276532857345,0.823535052353563,252
1250.7568359375,1754,18,3,18.7174301147461,9,98,34.9859866186544,0.823535052353563,318
1158.62231445312,1775,19,4,18.7121772766113,16,106,35.0443199518944,0.821451719023563,271
1129.00122070312,1839,12,4,18.6603889465332,0,109,35.1276532850943,0.821451719023563,370
1699.7626953125,1855,36,17,18.3136234283447,18,83,34.6839032858045,0.819368385693563,274
1569.70703125,1738,20,2,18.5020732879639,22,106,34.7297366190645,0.817285052363563,242
1439.66674804688,1739,17,5,18.6436023712158,20,104,34.8630699521845,0.817285052363563,281
1192.62854003906,1816,22,1,18.6663436889648,16,110,35.1089032851243,0.817285052363563,373
1490.25537109375,1713,32,15,17.974048614502,42,81,34.4922366194446,0.815201719033563,314
1280.6416015625,1639,20,3,18.0289096832275,25,90,34.5172366194046,0.815201719033563,341
1687.25244140625,1936,42,31,18.1607551574707,27,79,34.6047366192646,0.815201719033563,315
1350.72253417969,1686,18,6,18.5912380218506,19,104,34.8109866189345,0.815201719033563,303
1276.99914550781,1761,17,8,18.7055149078369,24,95,34.9547366187044,0.815201719033563,280
1191.06921386719,1819,16,6,18.6751842498779,24,107,35.0776532851743,0.815201719033563,348
1624.18017578125,1810,34,20,18.324333190918,14,87,34.6651532858345,0.813118385703563,290
1270.46459960938,1705,21,5,18.6329784393311,16,105,34.8443199522145,0.813118385703563,292
1085.74658203125,1420,15,10,17.793062210083,9,101,34.4255699528847,0.811035052373563,190
1330.05651855469,1630,20,8,17.8733196258545,16,86,34.4651532861546,0.811035052373563,248
1197.7265625,1770,22,3,18.7068729400635,11,106,35.0401532852344,0.811035052373563,281
1116.38354492188,1390,11,5,17.7800159454346,19,96,34.4151532862347,0.808951719043563,225
1502.97509765625,1736,29,19,17.9988346099854,22,81,34.5026532860946,0.808951719043563,282
1669.01013183594,1729,23,6,18.4314804077148,35,94,34.6964032857845,0.808951719043563,248
1547.69458007812,1776,14,3,18.6316833496094,7,103,34.8734866188344,0.808951719043563,253
1109.21496582031,1825,22,4,18.656322479248,9,111,35.1339032850843,0.808951719043563,358
1518.91772460938,1733,23,3,18.4131507873535,26,97,34.6922366191245,0.806868385713563,275
1298.23864746094,1677,20,6,18.5809669494629,16,105,34.8109866189345,0.806868385713563,293
1162.29907226562,1712,22,1,18.7419414520264,21,101,34.9839032853244,0.806868385713563,367
1285.91284179688,1808,20,2,18.6827049255371,10,104,35.0234866185944,0.806868385713563,273
1946.74829101562,2099,39,13,17.7646999359131,27,72,34.5547366193446,0.804785052383563,343
1333.67614746094,1685,19,3,18.5235481262207,22,106,34.7651532856745,0.804785052383563,247
1141.20227050781,1374,12,6,17.7467784881592,16,100,34.4047366195847,0.802701719053563,219
1415.41247558594,1706,17,5,18.5754585266113,12,108,34.8026532856145,0.800618385723563,222
1113.18737792969,1847,20,4,18.6465644836426,9,111,35.1443199517343,0.800618385723563,428
1374.94616699219,1693,15,2,18.6391201019287,16,102,34.8547366188645,0.798535052393563,211
1166.97021484375,1688,21,5,18.7011127471924,14,102,34.9234866187544,0.798535052393563,330
1389.21862792969,1800,18,4,18.6715774536133,12,107,35.0339032852444,0.798535052393563,285
1437.62951660156,1656,26,6,18.2265338897705,37,90,34.6172366192446,0.796451719063563,207
1493.94396972656,1691,21,4,18.4119033813477,49,98,34.7005699524445,0.796451719063563,238
1460.03540039062,1684,20,4,18.5065078735352,24,110,34.7589032856845,0.796451719063563,266
1154.64367675781,1747,15,4,18.7241363525391,13,102,35.0026532852944,0.796451719063563,246
1374.94616699219,1693,15,2,18.6391201019287,16,102,34.8568199521945,0.794368385733563,204
1279.70483398438,1684,19,4,18.6874866485596,24,104,34.9068199521144,0.794368385733563,312
1233.92846679688,1710,18,3,18.7218036651611,13,105,34.9484866187144,0.794368385733563,279
1119.11682128906,1844,18,4,18.6482448577881,4,112,35.1380699517443,0.794368385733563,396
1499.71655273438,1690,18,5,18.442455291748,19,107,34.7193199524145,0.792285052403563,218
1273.70495605469,1495,16,4,17.7245845794678,21,104,34.4380699528647,0.790201719073563,199
1285.05126953125,1520,16,7,17.797191619873,28,92,34.4734866194746,0.788118385743563,216
1838.62414550781,1805,34,29,18.0784397125244,43,76,34.5776532859746,0.788118385743563,289
1280.83117675781,1689,21,3,18.6819553375244,16,106,34.9047366187844,0.786035052413563,250
1255.74475097656,1469,14,3,17.7022972106934,9,110,34.4255699528847,0.783951719083563,205
1287.63586425781,1606,15,7,17.8628387451172,11,97,34.4943199527746,0.783951719083563,229
1520.38061523438,1697,19,3,18.4863681793213,19,112,34.7484866190345,0.783951719083563,251
1157.38073730469,1701,20,2,18.7360801696777,36,104,34.9714032853444,0.783951719083563,311
1071.78063964844,1339,9,5,17.6538543701172,17,106,34.3818199529547,0.781868385753563,213
1111.59545898438,1782,15,2,18.7026805877686,13,108,35.0901532851543,0.781868385753563,438
1308.49169921875,1486,16,7,17.7101230621338,16,104,34.4401532861947,0.779785052423563,214
1217.86889648438,1482,15,5,17.7806282043457,28,96,34.4714032861446,0.779785052423563,219
1078.06994628906,1306,8,7,17.6294174194336,16,103,34.3693199529747,0.777701719093563,225
1226.96984863281,1405,12,7,17.6544284820557,17,102,34.3964032862647,0.777701719093563,200
1387.0537109375,1639,18,5,18.2633056640625,26,105,34.6464032858646,0.777701719093563,177
1161.47888183594,1736,15,5,18.7342548370361,11,97,35.0026532852944,0.775618385763563,231
1195.21447753906,1774,18,7,18.7154026031494,12,96,35.0047366186244,0.773535052433563,239
1086.72180175781,1768,22,3,18.7307415008545,10,106,35.0755699518444,0.773535052433563,424
1217.7763671875,1579,14,9,17.8632431030273,17,95,34.5047366194246,0.771451719103563,210
1377.41796875,1617,17,5,18.2423686981201,18,106,34.6464032858646,0.771451719103563,147
1217.7763671875,1579,14,9,17.8632431030273,17,95,34.5047366194246,0.769368385773563,205
1429.26379394531,1673,21,3,18.6744537353516,22,102,34.9109866187744,0.769368385773563,233
1156.0400390625,1848,16,5,18.6564846038818,4,106,35.1068199517943,0.767285052443563,396
1551.42517089844,1643,22,4,18.0472984313965,35,89,34.5672366193246,0.765201719113563,217
1110.62438964844,1678,22,3,18.7122535705566,12,106,34.9568199520344,0.765201719113563,237
1113.78100585938,1719,16,5,18.7422943115234,11,98,34.9964032853044,0.763118385783563,258
1177.16345214844,1872,17,5,18.6365947723389,7,106,35.1047366184643,0.763118385783563,431
1508.48559570312,1712,19,0,18.5228061676025,19,111,34.7880699523045,0.761035052453563,180
1331.91418457031,1713,16,4,18.6367454528809,16,104,34.8755699521644,0.761035052453563,224
1303.97692871094,1649,22,2,18.4668273925781,14,112,34.7651532856745,0.758951719123563,160
1175.49584960938,1645,15,3,18.5922393798828,14,106,34.8464032855445,0.758951719123563,195
1124.12768554688,1708,16,5,18.7267475128174,8,102,34.9734866186744,0.758951719123563,256
1236.67492675781,1895,20,5,18.613109588623,8,108,35.1214032851043,0.758951719123563,443
1228.69360351562,1424,12,7,17.7145118713379,13,97,34.4568199528346,0.756868385793563,222
1639.26733398438,1621,19,3,18.0639476776123,33,92,34.5859866192946,0.756868385793563,199
1583.25854492188,1608,15,1,18.1524658203125,37,113,34.6276532858946,0.756868385793563,125
1174.61462402344,1523,17,10,17.7555198669434,11,99,34.4943199527746,0.754785052463563,180
1609.86535644531,1627,19,2,18.0433578491211,18,92,34.5776532859746,0.752701719133563,200
1382.04724121094,1661,19,6,18.3871612548828,20,104,34.7276532857345,0.752701719133563,229
1302.23425292969,1645,14,6,18.5375308990479,11,107,34.8151532855945,0.752701719133563,172
1076.47094726562,1646,23,3,18.7066955566406,13,107,34.9547366187044,0.752701719133563,241
1572.48400878906,1678,20,2,18.44260597229,29,116,34.7464032857045,0.750618385803563,230
1162.607421875,1639,15,4,18.5850372314453,14,106,34.8526532855345,0.750618385803563,215
1617.09924316406,1594,18,2,18.1320819854736,28,111,34.6234866192346,0.748535052473563,132
1169.64562988281,1659,26,5,18.7197532653809,12,98,34.9755699520044,0.748535052473563,257
1213.03356933594,1627,14,4,18.340482711792,19,103,34.7172366190845,0.746451719143563,124
1490.82397460938,1714,16,5,18.6438827514648,21,101,34.8901532854744,0.746451719143563,232
1152.82336425781,1468,14,6,17.7124767303467,30,103,34.4630699528246,0.744368385813563,208
1720.38439941406,1704,19,9,17.9430732727051,22,87,34.5318199527146,0.744368385813563,178
1410.22155761719,1622,20,1,18.4464092254639,22,112,34.7651532856745,0.744368385813563,182
1290.51538085938,1561,16,3,18.1642208099365,35,103,34.6526532858546,0.742285052483563,124
1221.73400878906,1659,20,5,18.6801509857178,12,100,34.9318199520744,0.742285052483563,224
1248.08520507812,1391,12,5,17.658935546875,17,107,34.4401532861947,0.740201719153563,210
1186.38208007812,1407,12,6,17.6753005981445,8,109,34.4464032861847,0.740201719153563,201
1395.47668457031,1670,17,6,18.3976249694824,12,105,34.7422366190445,0.740201719153563,130
1531.01489257812,1678,20,3,18.420482635498,28,111,34.7464032857045,0.740201719153563,154
